# FEAT_ID     Score                   Feature Expression
0             0.904655501509758264    ((max:mendeleev_number * ave:covalent_radius_pyykko_triple) * (max:mendeleev_number + min:period))
1             0.904665735328548104    ((ave:covalent_radius_pyykko_triple * min:covalent_radius_pyykko) / (min:vdw_radius_mm3 - ave:covalent_radius_pyykko_triple))
2             0.904683732047235623    ((max:mendeleev_number / min:vdw_radius_mm3) * (min:atomic_radius_rahm * ave:covalent_radius_pyykko_triple))
3             0.904718395235356132    (sqrt(ave:covalent_radius_pyykko_triple) * (max:mendeleev_number * ave:covalent_radius_pyykko_triple))
4             0.904723428501591154    ((ave:covalent_radius_pyykko_triple^3) * (max:en_ghosh * min:vdw_radius_mm3))
5             0.904731486271574736    ((ave:covalent_radius_pyykko_triple^2) * max:mendeleev_number)
6             0.904732354210778023    ((ave:covalent_radius_pyykko_triple^2) * (min:vdw_radius_alvarez / min:vdw_radius_mm3))
7             0.904741543004226378    (cbrt(max:en_allen) * (ave:covalent_radius_pyykko_triple^2))
8             0.904759187123888586    (cbrt(min:covalent_radius_pyykko_triple) * cbrt(min:gs_volume_per))
9             0.904774097548924794    ((ave:covalent_radius_pyykko_triple^3) / (ave:covalent_radius_pyykko_triple + min:covalent_radius_cordero))
10            0.904780155740245839    (cbrt(min:fusion_enthalpy) * (ave:covalent_radius_slater * min:gs_volume_per))
11            0.904795890695493155    (cbrt(min:gs_volume_per) * (min:atomic_radius_rahm + min:covalent_radius_pyykko_triple))
12            0.904796296053692384    ((min:vdw_radius * ave:covalent_radius_pyykko_triple) / min:vdw_radius_mm3)
13            0.904805057586479555    ((ave:covalent_radius_pyykko_triple * min:covalent_radius_pyykko_double) / (min:covalent_radius_pyykko_double + min:covalent_radius_pyykko_triple))
14            0.90482559973077159     ((max:mendeleev_number * ave:covalent_radius_pyykko_triple) * (ave:gs_volume_per + min:gs_volume_per))
15            0.904834690801249231    (|(min:covalent_radius_pyykko_triple / min:hhi_p) - (ave:covalent_radius_pyykko_triple / max:mendeleev_number)|)
16            0.904838004793771633    ((min:covalent_radius_cordero + min:covalent_radius_pyykko) * sqrt(min:gs_volume_per))
17            0.904850042678082334    ((min:vdw_radius + ave:covalent_radius_pyykko_triple) * (ave:covalent_radius_pyykko_triple / min:vdw_radius_mm3))
18            0.904856331023630611    ((min:covalent_radius_pyykko_double / min:covalent_radius_pyykko_triple) * (ave:covalent_radius_pyykko_triple^3))
19            0.904862925068550039    ((max:mendeleev_number / min:vdw_radius_mm3) * (min:vdw_radius * ave:covalent_radius_pyykko_triple))
20            0.904876087779076022    ((min:atomic_radius_rahm * ave:covalent_radius_pyykko_triple) * (ave:covalent_radius_pyykko_triple / min:vdw_radius_mm3))
21            0.90492008896059839     ((min:covalent_radius_pyykko_triple * min:fusion_enthalpy) * (ave:covalent_radius_pyykko_triple * min:gs_volume_per))
22            0.9049416801405884      ((min:covalent_radius_pyykko / min:vdw_radius_mm3) * (ave:gs_volume_per + min:gs_volume_per))
23            0.904941781854203597    ((min:covalent_radius_pyykko_double + min:covalent_radius_pyykko_triple) * (ave:covalent_radius_pyykko_triple / min:covalent_radius_pyykko_triple))
24            0.904957134556857445    (sqrt(min:gs_volume_per) * (min:vdw_radius + ave:covalent_radius_pyykko_triple))
25            0.904961751573299944    (cbrt(min:gs_volume_per) * (min:atomic_radius_rahm * min:covalent_radius_pyykko))
26            0.904965920903434862    ((ave:covalent_radius_pyykko_triple / max:mendeleev_number) * (ave:gs_volume_per + min:gs_volume_per))
27            0.904984155302707816    ((ave:covalent_radius_pyykko_triple^3) / (min:vdw_radius_mm3 + min:covalent_radius_pyykko_double))
28            0.904993918929891783    (cbrt(min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / max:en_ghosh))
29            0.904994822451337666    ((min:covalent_radius_pyykko_double / min:atomic_radius_rahm) * (ave:gs_volume_per + min:gs_volume_per))
30            0.905002636823108442    ((ave:atomic_number * ave:covalent_radius_pyykko_triple) / (ave:atomic_number + min:period))
31            0.905006484132542144    ((ave:covalent_radius_pyykko_triple^3) * (max:mendeleev_number / min:vdw_radius))
32            0.905006540373521573    ((min:vdw_radius_mm3 / ave:covalent_radius_pyykko) * (ave:gs_volume_per + min:gs_volume_per))
33            0.905007779898744258    ((ave:covalent_radius_pyykko_triple^2) / cbrt(min:vdw_radius_mm3))
34            0.905013629008835641    ((ave:covalent_radius_pyykko_triple^3) / (min:vdw_radius_mm3 + min:atomic_radius_rahm))
35            0.905021523814611206    ((ave:covalent_radius_pyykko_triple^3) * (max:en_ghosh * ave:covalent_radius_pyykko_triple))
36            0.905036593064490691    (sqrt(min:period) * cbrt(min:gs_volume_per))
37            0.905066324681980006    (|(min:covalent_radius_slater / ave:atomic_number) - ave:covalent_radius_pyykko_triple|)
38            0.905068181827793139    (cbrt(min:gs_volume_per) * (min:vdw_radius_alvarez * min:covalent_radius_pyykko))
39            0.905072874193282195    ((min:gs_volume_per / min:vdw_radius_mm3) * (ave:covalent_radius_pyykko_triple * min:covalent_radius_pyykko_triple))
40            0.905121946078911832    ((min:atomic_radius_rahm + ave:covalent_radius_pyykko_triple) * (ave:covalent_radius_pyykko_triple / min:vdw_radius_mm3))
41            0.905147147817647713    ((max:mendeleev_number * ave:covalent_radius_pyykko_triple) / cbrt(ave:heat_capacity_mass))
42            0.905217920037103996    ((ave:covalent_radius_pyykko_triple^3) * (min:atomic_radius_rahm / min:covalent_radius_cordero))
43            0.905242437743348116    ((ave:gs_volume_per * min:fusion_enthalpy)^2)
44            0.905249330015667431    ((ave:covalent_radius_pyykko_triple^3) * (min:vdw_radius - min:covalent_radius_cordero))
45            0.905258856291122904    ((ave:covalent_radius_pyykko_triple * min:gs_volume_per) + (ave:gs_volume_per * ave:covalent_radius_pyykko_triple))
46            0.905261649579010563    ((min:covalent_radius_pyykko_double * min:covalent_radius_pyykko_triple) * (max:en_ghosh * min:gs_volume_per))
47            0.905294264423489814    ((ave:covalent_radius_pyykko_triple * min:gs_volume_per) + (ave:gs_volume_per * min:covalent_radius_slater))
