material_id,formula,exfoliation_energy (J/m^2)
423,Br10Y7,0.31140233157691877
577,Br2Ti,0.3135900205824857
3422,CaS9Sn4,0.2802083413851849
1518,Cl3Ti,0.2969751162456789
5181,Bi5O9Sr,0.5261236775456994
1015,F2Nb,0.33910614953569834
1156,CdSr2,0.8470934050524324
4984,Ni2SbTe2,0.43487680736558887
4680,Li2Nb4O11,0.3364035952142165
5095,AgCl,0.5893419787698063
827,P2S3,0.4003907365198857
695,CuZr,3.284722007121098
5396,I5Ta2,0.08394699154938887
3038,N2Pd,0.2698343232194364
4451,CaS3Sn,0.3854058871881627
683,CaF2,0.7567006984040863
4700,Cl6LiW,0.29415167702642075
2132,Bi4Ge3,0.674774006901621
5269,CCl8Sc5,0.5468292537176512
1517,SV,0.4146991767326453
4066,Cu2NiO7Sr2,0.37646701366221924
5182,Ba2Fe3O8,0.15176503975079603
1,Ba2Sb,0.4764892223280973
3515,BiS,0.035108599785072636
1029,AgI2,0.30929159959363084
5743,Br10OTa2Te4,0.30872053451762516
1217,IIn,0.3172537314486099
2683,TeW,0.38441693980009334
759,CdF2,0.818449820359212
711,Cl2Cu,0.25024019326084784
4207,AsO4Ta,2.0137111377226695
1543,Se3Ta2,0.38406545544247334
3822,As2S6SnTl2,0.42181228494166434
905,Br8Ta3,0.32381820161867686
347,BrSe,0.27753468915773283
2342,Cl2Ni,1.2102460621837579
4542,O8W3,0.30481289900060404
559,K2O,0.3453933368526703
457,In2S5,0.33765249209455905
3113,CoO6V2,0.23141660877389858
4420,HBr2Zr2,0.31792259823536906
1696,Al2Se5,0.3247424454205921
2686,BrRb2,0.35037576538509063
3177,Br2MoO2,0.26274340227302406
246,AsCl3,0.2556389493354024
5215,Br2NbSe2,0.29369953580112085
286,CaCl2,0.2223387257013637
465,BSe,0.3187608224082913
5237,AgBiP2S6,0.40504961521043464
4712,HfSe4Te,0.34421335086745597
1007,BiSr2,0.8851170638711574
4773,H2Mg3O6,0.3367910301019642
2379,Br3P,0.19250939903862213
877,Al4Te3,0.6907271953905234
4038,FePS3,0.42956736674325524
56,AlTe,0.28483542885197
293,F2Zr,0.3141382424198136
2482,CaCl2,0.26854760517054854
698,GeS2,0.352697162251246
5638,C4H6BaO7,0.8721344321156084
3735,H8Al2Mg,0.4120303000763381
416,NiSe2,0.607111716541315
3708,F4Sn,0.4867280057715314
5819,Bi2Pt,0.7652967829040024
2404,CuHg3,0.8926809959705674
5860,MgO4Sb2,0.5228726533292852
1770,Bi4F,0.7267589887161684
4280,Cl2NiO8,0.19963586453142945
4123,KO10V4,0.6986549779679445
1823,CuMg,1.5154923797224131
3445,SY,0.022529854274042898
5375,H2O8Pb4S,0.4917466885534617
5658,Cl7FeSe,0.29143874171329487
722,SeTl,0.3444202719318335
748,ClSe,0.3334604743545695
1752,Bi2Pd,0.7809780495391134
3395,BiBrO,0.3436035898879734
2138,I2Ni,0.9287432598310735
1741,BF3,0.18963762760854166
1296,InSb5,0.48871425586264167
1953,I2P9,0.29153106790594135
725,GeSb2,0.44095818543730625
604,O2Sb,0.4560471731927151
4975,H2MnO4S,0.22348928785968822
3827,BrMoTe4,0.3455204772490412
1494,S3V,0.3967603100069481
309,Ta2Te3,0.3416637145480106
2934,Ca2Sb,0.7704268631123875
2904,BiBr5,0.3724124904587404
2310,CaCl2,0.2595786735285539
1210,BrSc,0.31427285040116726
3119,B2O9S2,0.2876046469044033
3373,HfMg6O7Rb,0.23411915394072547
5614,O3PdSe,0.47257317453325715
4342,C2Fe2O7,0.17406995556977184
4778,AlBiO3,1.2098583567596346
1002,O9Se4,0.49154292508154573
3958,BaCaI4,0.5589352628698108
522,AsBr3,0.3091110080170049
4929,F4LiV,0.28480787668394714
1449,GaS,0.31980846949086034
414,F3Y,0.2030825961381315
100,AsTl,0.9132390745163984
4326,CaCl3Tl,0.5719339261998349
2649,Os3S4,0.39675855506940816
690,CaI2,0.20404362708512833
1340,Au2Te,0.6973473440932254
1320,PtSi4,1.8806717174468028
5200,CrMn2O6,0.3532355286476786
260,Br8Y5,0.3247669513726531
1779,Te3V2,0.3791915322769544
5545,BaBi4O8,0.2668049528800025
3183,S2Zr,0.36403818923350917
1460,Cl3Sb,0.1677160946148001
4197,Bi4Br2O9Te2,0.3298131708488971
3867,H2I3KO,0.44362480114242886
3864,H12N6Rb2Sn,0.3252128607235879
4310,HAuO2,0.39410562127713855
5603,AsCl2Hg2,1.1450333288539372
1581,BrTe,0.3503307596163345
3155,MgSb3,0.6842365295234908
794,Br2Cd,0.311166222225426
3607,Br3Rh,0.2961710185474097
1483,As2Te3,0.43800946611335695
3731,ClOV,0.2731499915490489
3803,F2LiO2V,0.7655309378783682
1946,MnTe2,0.27803874885860824
5645,O5V2,0.4525496801479477
2458,PdSe2,1.2602982711551576
4472,Bi10Ca2O17,0.5343607466851006
5323,CrO8P2Sb,0.9413037896889335
4007,LiO3Te,1.2110300121834716
