# c0 + a0 * ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (min:vdw_radius_alvarez * ave:period)) + a1 * ((max:mendeleev_number^6) / cbrt(ave:density))
# Property Label: $bandgap$; Unit of the Property: eV
# RMSE: 1.17530518685785; Max AE: 5.82605011637281
# Coefficients
# Task   a0                      a1                      c0
# all , -6.910012149032066e+01,  3.397225489403780e-12, -1.639934303245350e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         25|14|abd|20|17|mult|div; ((|ave:covalent_radius_pyykko - ave:covalent_radius_cordero|) / (min:vdw_radius_alvarez * ave:period)); $\left(\frac{ \left(\left|ave:covalent_{radius, pyykko} - ave:covalent_{radius, cordero}\right|\right) }{ \left(min:vdw_{radius, alvarez} ave:period\right) } \right)$; (abs(ave:covalent_radius_pyykko - ave:covalent_radius_cordero) ./ (min:vdw_radius_alvarez .* ave:period)); ave:covalent_radius_pyykko,ave:covalent_radius_cordero,min:vdw_radius_alvarez,ave:period
# 1;  2; cm * g^-0.333333;                                 21|sp|8|cbrt|div; ((max:mendeleev_number^6) / cbrt(ave:density)); $\left(\frac{ \left(max:mendeleev_{number}^6\right) }{ \left(\sqrt[3]{ ave:density }\right) } \right)$; ((max:mendeleev_number).^6 ./ nthroot(ave:density, 3)); max:mendeleev_number,ave:density
# Number of Samples Per Task
# Task, n_mats_train            
# all , 1353                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
5613        ,  3.984599999999999e+00,  6.977120038538742e-01,  1.909090909090909e-02,  5.985164925822043e+11
3256        ,  1.546800000000000e+00,  1.147317110663147e+00,  1.515151515151515e-02,  6.507333700171051e+11
3559        ,  4.266400000000000e+00,  3.659661877784103e+00,  7.608695652173914e-03,  1.236839599805922e+12
5115        ,  2.619500000000000e+00,  2.174193903619635e+00,  3.703703703703714e-03,  7.201522625369020e+11
4072        ,  9.394999999999998e-01,  1.601414543243839e+00,  2.380952380952367e-03,  5.246451819645253e+11
3064        ,  0.000000000000000e+00,  1.288976952172751e+00,  2.389486260454005e-03,  4.328503040756655e+11
4062        ,  5.457999999999998e-01,  2.280969537987849e+00,  3.688092729188597e-03,  7.512649792118221e+11
5382        ,  5.297999999999998e-01,  2.622558290946846e+00,  5.555555555555592e-03,  8.897988100121469e+11
4157        ,  1.256900000000000e+00,  1.684929484299006e+00,  4.048582995951413e-03,  5.831483398421790e+11
3682        ,  3.169300000000000e+00,  1.461248304447377e+00,  1.079365079365078e-02,  6.545018090734457e+11
5228        ,  8.589000000000000e-01,  9.445017026182877e-01,  7.934408886537953e-03,  4.442359414680054e+11
5154        ,  1.082900000000000e+00,  1.097524779112126e+00,  1.629629629629628e-02,  6.593616417419617e+11
3743        ,  0.000000000000000e+00, -1.845952170023504e-01,  1.270345375148869e-02,  2.088805484999409e+11
3373        ,  0.000000000000000e+00,  2.040574723359315e+00,  1.023255813953493e-02,  8.136183734673137e+11
3489        ,  2.194900000000000e+00,  1.713308795753032e+00,  9.721048182586645e-03,  7.068808816799911e+11
5800        ,  5.573999999999995e-01,  1.979771169441908e+00,  5.494505494505499e-03,  6.993476050042505e+11
5846        ,  0.000000000000000e+00,  1.420755222255751e+00,  2.129629629629627e-02,  8.562078777898934e+11
4747        ,  3.408700000000000e+00,  2.030017671165592e+00,  8.888888888888889e-03,  7.831803701676501e+11
3114        ,  0.000000000000000e+00, -4.324094791889490e-01,  1.138211382113819e-02,  1.090582043660087e+11
3084        ,  8.620000000000028e-02,  5.916786623588085e-01,  1.091703056768559e-03,  2.011979544417236e+11
5005        ,  1.334700000000000e+00,  2.880664913112622e+00,  1.467710371819961e-03,  8.826270821595297e+11
5413        ,  7.898000000000001e-01,  1.306391529911952e+00,  4.538939321548014e-03,  4.816966482221245e+11
3108        ,  0.000000000000000e+00,  1.245826657557786e+00,  1.696969696969697e-02,  7.167125439405392e+11
3544        ,  0.000000000000000e+00,  1.166671071192514e+00,  3.865481252415707e-04,  3.561085186763198e+11
5200        ,  8.647000000000000e-01,  5.776643624912020e-01,  2.694444444444443e-02,  7.229217188509266e+11
3333        ,  0.000000000000000e+00, -4.206627058034716e-01,  1.122781600869248e-02,  1.093775166410319e+11
