,exfoliation_energy (J/m^2),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,sum:boiling_point,sum:hhi_r,var:boiling_point,var:c6_gb,var:evaporation_heat,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity,r1_1term,r1_2term,r1_3term,r1_4term,r2_1term,r2_2term,r2_3term,r2_4term
3936,0.3696216735678464,4.3545454545454545,43.63636363636363,150.74738477748363,223.8181818181818,17.372727272727275,102.55418181818182,37537.2,148600.0,1799704.147768595,36159.966942148756,25904.076535537188,26115.70247933884,1509752.0661157025,462623.66380165284,70978.68011435462,1156.1924231404957,0.4452871528739284,0.4583614920454653,0.36572256256441105,0.36374143014943267,0.475314502369652,0.41967761583580054,0.41809573882430767,0.3352619536207144
3196,0.46829345222402563,10.317499999999999,24.0,142.5,227.5,13.372499999999999,54.955011,5269.35,18000.0,284970.82171875,230905.6875,4559.884999999999,211875.0,2970000.0,190346.06176875,1327968.75,1271.2235999999998,0.9752295713364801,0.7334924343807039,1.1716364318354902,1.0234554792662178,0.9950529931521649,1.0898494194543045,1.0897049504627336,0.988862196198689
1713,0.5274016633298737,2.44775,14.5,135.767710626336,180.5,15.775000000000002,31.67955237,5862.06,12800.0,1258730.4712687498,37263.3075,13044.2508,3000000.0,30000.0,11662.567500000001,1416.444519923441,157.386406366875,0.42884779216250835,0.4525978456175448,0.42649053581237106,0.40541387701420684,0.4322816522271652,0.4949997646458625,0.49247293833670713,0.48086785955084255
5825,0.33275530836646866,4.924,19.4,132.4,221.8,15.229999999999999,40.713163200000004,11001.944,22100.0,740900.9591942402,179215.65,12471.7644,2042900.0,3138900.0,231176.25809999998,308414.69643135753,16511.265546160004,0.5895483154489709,0.45972362477592377,0.6043343750756311,0.519056806538315,0.5383154553693146,0.5006463760005642,0.49908433378561745,0.5155760461051313
199,1.5044271350993002,4.773333333333333,38.33333333333333,141.33333333333331,224.33333333333331,14.433333333333334,88.6034,4401.2,13400.0,518094.1355555556,2592.0,8398.080000000002,222222.22222222222,4702222.222222222,123372.00222222219,124999.99999999999,40989.5712,0.6239091058645453,0.5895947067832275,0.6867295902434989,0.6569466532625059,0.5805885129832262,0.5914410236290011,0.5897950481333806,0.5941866377702901
1800,0.4375320177361192,5.449999999999999,30.25,132.5,225.0,14.35,69.28197,31405.888,31200.0,4650403.685807999,104626.6875,104766.796875,480000.0,2707500.0,1558441.6875,34102.44931928073,604.8135046875,0.6643335651769859,0.5149821252299063,0.407484313508059,0.3509674534508381,0.6018227228880548,0.31682349632134726,0.31670431346056316,0.37004012249897217
4488,0.3500270645846581,10.571,17.0,160.6596797212312,198.66666666666666,20.638333333333335,36.81848333333333,17660.68,50400.0,1071487.3855805555,2859522.612222221,14109.781553694595,4034722.222222222,4683333.333333333,564345.9822222223,4260442.395833333,1390.8071881984888,0.6022430140751581,0.4138187866114946,0.5294063678373568,0.49384971706472014,0.5474970724316471,0.6399633998099511,0.6378233912779023,0.5074896907290071
1941,0.498288836748228,4.915,41.0,150.77765406903998,222.0,16.9,93.8861,5633.8,16600.0,1158959.9025,5929.0,12604.552899999999,1102500.0,7562500.0,234837.15999999997,4381.608716441326,46199.2036,0.5002421744153026,0.48087017851820146,0.4899908931453386,0.47361160153650095,0.5053940983721164,0.5099429178137824,0.5080229538860165,0.4563488239577813
5607,0.5615877319607279,4.51,44.5,145.63882703451998,222.25,15.475,105.75325,19038.92,70000.0,956628.91866875,1050.5,12370.975300000002,2212500.0,4726875.0,207302.34907499998,726311.4167956165,29565.298475,0.5544960540188413,0.5369465069702626,0.5638928731551872,0.549778114390441,0.5305594258980773,0.5255554640029232,0.5237941657775579,0.49294718777927216
3304,0.4207482123452428,2.7534344,15.600000000000001,91.4,173.8,13.186000000000002,37.5744,12022.24,36052.41167019713,5587966.476544,90117.63841600003,108397.92403456001,1920372.753938057,120672.45900103264,2150317.228816,2438594.56,4614.18601284,0.5828162813074514,0.44230778056015785,0.33406624263990015,0.26282236889747534,0.4589399476781082,0.20390470126313384,0.2030006992376395,0.23341057567288337
5772,0.9791729170663426,2.65125,21.625,147.3758876946302,194.5,14.7625,49.842625,23267.8,55200.0,883374.4709609374,38365.14609375,8737.847103690561,1047343.75,3464375.0,214655.91749999998,1676445.99609375,17425.001496835095,0.49352692706241363,0.6186429922888825,0.5340298259594775,0.5899050824902186,0.4713386724726516,0.5482467594027663,0.5458371740723331,0.5607067940738721
4208,0.6603942215445863,2.2771999999999997,30.400000000000002,147.520852186845,192.7,14.39,72.983,3148.154,13300.0,76266.89695043999,12770.997599999999,402.2646243577634,5193600.0,1364100.0,13070.527824,1128051.1623716597,14.288686901136003,0.49344448244144745,0.6622326329748511,0.6422154212484028,0.7101875568065996,0.4620915007178371,0.6089655378359587,0.6061714517451965,0.6412126581519274
5588,0.8803208873918648,2.4652222222222218,15.555555555555555,133.36883235040537,181.88888888888889,13.422222222222224,33.51433508888889,18070.48,25000.0,1685605.5280469137,14196.292839506172,19550.669592986535,108395.06172839504,98765.43209876542,377209.0019506172,882774.31103974,35550.664464631,0.5549215746431827,0.611383920008465,0.5615407962066694,0.569305769114484,0.4867496188061782,0.5280494278317529,0.5258000687383408,0.5914562535831973
5685,1.4519284164597444,4.647384615384615,21.53846153846154,144.50856634548205,197.46153846153845,12.425384615384617,48.338826153846156,38083.04,59400.0,4648038.02747929,173911.63786982247,87422.24432701356,9672307.692307692,8825917.159763316,1559119.8129928992,3207374.923076923,3298.0575930169,0.7240128327408785,0.9286404560761188,0.5844093774103866,0.7294751635958334,0.7140325426445417,0.6678844373625425,0.6671646324859395,0.6595347051246123
461,0.28951318740064774,9.5,42.33333333333333,154.49306096648644,246.33333333333331,22.133333333333333,99.58828266666667,4019.0,14100.0,1556436.0555555555,309946.8888888889,18785.68055555555,80000.0,20000.0,452707.8422222222,689684.7344309741,53.74080022222222,0.46575727381762844,0.43837240237906006,0.38924681960182306,0.41305684862259806,0.4861046684644179,0.40064861204052726,0.39913696498964135,0.2717102369025813
180,0.3677083798565582,4.38,30.0,139.8,226.8,16.659999999999997,67.94000000000001,5969.472,9800.0,339964.53863424005,31799.04,8187.381599999999,12441600.0,1382400.0,64372.8984,39652.98858887243,135.888486,0.4845511013927106,0.4372588855103552,0.507942245404741,0.46111786487038803,0.48298417078216516,0.4739539423815172,0.47199618483514466,0.49258603705414017
3567,0.6455865771715684,2.0742857142857143,20.857142857142854,146.66449846730296,189.0,16.742857142857144,48.74197233142856,5933.18,28600.0,281708.2149265306,42610.836734693876,306.1707145965123,987755.1020408163,3436734.6938775503,91177.67536734694,1418460.3256006164,1.803788482955102,0.35750280069646845,0.4655230467597846,0.48744516907402413,0.4832399671568691,0.41122568535662846,0.5569813428061392,0.55395124200798,0.5259056531661924
986,0.16670637585446493,3.095,20.75,144.7653630448719,213.0,17.424999999999997,44.745000000000005,7637.6,9800.0,1538397.6300000001,13456.951875,17739.67651875,2707500.0,151875.0,202176.47999999998,5058306.75,674.7997648518749,0.3755114414052063,0.43223767904178656,0.33982665616643726,0.33486167650745,0.4323130064187642,0.41389389578196206,0.4117446309699438,0.4028398046552771
350,0.3022496124401135,7.9624999999999995,36.0,162.66648110356,232.75,22.575,82.15446,9213.4,46600.0,2016093.1518749997,1091731.6875,21349.8288,7921875.0,3466875.0,438402.52687500004,129912.9101282219,53.4252,0.36048524435814755,0.42404029106977337,0.2991599565394303,0.3179038815479426,0.46192409116910815,0.4289019614749493,0.42696103165346366,0.25822511210912935
3563,0.2963852956512342,4.253333333333333,20.0,140.23587826210832,212.66666666666663,14.833333333333332,42.248333333333335,3500.2,3400.0,1722862.9688888888,45180.18,22697.281799999997,180000.0,35555.555555555555,594631.4755555555,4917247.999999999,1421.9057953799997,0.5749742340652751,0.5425003456593345,0.5412369822936343,0.5197737105855482,0.5364149115351531,0.5010121754144075,0.4994688880663585,0.5640671451559288
795,0.27665382556383405,3.3649999999999993,34.5,152.91648110356,222.0,20.9,78.65839875,7486.799999999999,98800.0,55508.401875,999.1875,1.5122999999999998,0.0,1576875.0,127338.90187500001,257136.54232691874,466.5027,0.2050372412784005,0.41925385535027004,0.38542688349598286,0.3843463736539735,0.4022501782334647,0.5698686213994625,0.5502125331036627,0.4515110586653348
3276,0.3528731625859118,4.68,48.666666666666664,139.66666666666666,225.99999999999997,14.033333333333333,117.67533333333333,6016.2,21100.0,2193674.5799999996,12481.999999999998,37410.24222222222,2420000.0,2135555.555555555,537338.8888888889,99755.55555555555,1135.420088888889,0.6402207297976354,0.6138710904699449,0.5718840623829111,0.5628559809436589,0.5934779454351387,0.47193274463373613,0.4710210888858671,0.4462319534211608
4238,0.24460306237607915,4.8031974545454545,11.09090909090909,125.34597102233029,185.36363636363637,16.854545454545452,24.300229454545455,6915.76,56452.41167019713,291536.9135834711,2498420.8851140495,1590.9408078350039,1755744.7563967179,2998473.573390545,80534.10147768597,1710464.5676181957,26.398244435861162,0.49671311911732663,0.4156495961549247,0.5889841674719167,0.5255271995265147,0.475897507020281,0.5835360737430804,0.5809879496852572,0.542834364821035
5282,0.5293873330373472,6.200615384615384,17.692307692307693,142.36507276499333,188.23076923076925,14.815384615384616,41.36639838153846,14412.93,28500.0,3963327.9030520716,296010.28248520714,70524.56845560814,619171.5976331361,2548402.3668639055,1302037.7988591718,3052706.266000409,1133.3037455354793,0.6795050120525457,0.5634049115892039,0.4936629978952282,0.46535717274961164,0.6305690895209362,0.6245920890475569,0.6232903963660259,0.5714908464709418
599,0.19418975430622115,15.266666666666667,42.0,179.0368720920533,243.66666666666666,28.666666666666664,99.04499999999999,2573.8,16100.0,553422.1355555555,6367690.888888888,2809.5008,20000.0,4702222.222222222,120409.60222222222,159654.89956750663,71.0432,0.4249782139849033,0.5352324592196935,0.46041060804958533,0.5767503242572259,0.46558111478639974,0.5483033168838043,0.5461646556655394,0.34801864648358416
3382,0.4754043303942602,2.0279999999999996,16.0,146.02658310646592,185.83333333333331,14.166666666666664,34.55236666666667,3084.3599999999997,4400.0,779857.6338,14056.2725,7840.923960370284,168055.55555555556,122222.22222222222,187703.32805555552,739449.7222222222,25677.80319320903,0.49206863242274335,0.6717320689259356,0.5472841820046449,0.6338407142917357,0.4529844431621304,0.5476253102151708,0.545102115523049,0.6007086449463656
2828,0.46090141467044393,4.982,25.599999999999998,141.2,230.0,13.9,58.175215400000006,50125.8,120000.0,762040.2264,19768.559999999998,12085.286400000003,86400.0,6000000.0,47206.14,735000.0,13195.408896,0.6633761437722177,0.6467263114131407,0.7198386933195744,0.7026549837240614,0.6204629152078491,0.5972421728303796,0.5959153947819471,0.6200565222389955
4760,0.23268046303319168,6.439692307692308,16.923076923076923,148.5854894224051,202.23076923076923,13.889230769230771,37.31316738461538,11571.52,13500.0,1030312.9316213017,2085942.4828402367,8894.378475038371,571360.9467455621,479289.9408284024,453581.8082840237,4797121.00591716,29.19612120624852,0.7414837276056682,0.7411920123495559,0.8329025029476289,0.8428213934422457,0.7214945294617667,0.8146271637952707,0.8132721540466664,0.8134815878076419
