2dm_id (unitless),exfoliation_energy (J/m^2),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,sum:boiling_point,sum:hhi_r,var:boiling_point,var:c6_gb,var:evaporation_heat,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity
3606,0.28394811451965846,4.860666666666666,16.333333333333332,141.18507923485691,203.33333333333331,13.309999999999999,34.4817,6547.58,11200.0,1721840.7360222223,95573.89555555556,23332.67505407961,1146666.6666666665,2535555.5555555555,905913.1822222223,7167077.166666666,1962.8145398098668
3114,1.8319504321356235,11.933333333333334,15.333333333333332,155.66666666666666,245.66666666666666,12.866666666666665,32.159,6286.0,2600.0,1072624.222222222,72453.55555555556,18792.142222222225,3919999.9999999995,268888.8888888889,227137.99999999997,47432.0,4232.0
3034,0.4935948125875536,4.94,49.0,151.0,231.5,16.9,119.63,5461.648,5600.0,419370.217744,38809.0,6997.322500000001,1000000.0,160000.0,11518.655624999998,1646696.682175019,302.67300625
915,0.7155608468327842,5.882857142857143,24.57142857142857,135.0,224.85714285714283,13.385714285714286,53.581714285714284,25714.944,21200.0,939049.7747696326,24454.530612244896,16529.64244897959,5642448.979591837,198367.3469387755,1689.9489551020404,289083.64381868084,203.0576387755102
143,0.2878408453797652,7.85,50.5,163.0,244.0,18.1,121.209,7232.0,13800.0,297025.0,7396.0,7682.522499999999,40000.0,2102500.0,21517.95610000001,486506.25,1560.25
1747,0.4723624565072543,5.2,21.5,126.0,218.0,11.1,45.496596999999994,7721.648,7400.0,1470369.6577440002,25760.25,35834.490000000005,1440000.0,722500.0,477481.0,199597.35781398282,2489.76050625
3624,0.3119165808174699,5.172,21.400000000000002,138.941526957265,218.20000000000002,15.84,45.585274000000005,13855.696,25600.0,3339122.385546241,167305.69840000002,70678.85074399998,8889600.0,9734400.0,978894.3456,2964382.2480137125,464.7214251704001
1613,0.4892777101910798,3.0656000000000003,21.8,137.01889133475842,182.0,15.860000000000001,51.388298528,6038.04,10800.0,5040905.078416,123004.51840000002,90350.741056,102400.0,1742400.0,1654279.5713440003,52548.064766934556,519.3348747664002
785,1.3231714352506265,4.58,32.33333333333333,136.0,221.66666666666663,13.366666666666667,73.82933333333334,4756.2,13500.0,787010.5799999998,213.55555555555554,13328.002222222223,80000.0,4500000.0,166887.90222222218,10755.555555555555,35463.1712
1473,0.44222239377455685,6.1,22.25,131.75,223.25,14.325,47.2715925,43010.831999999995,70800.0,3462322.795308,187500.0,84043.171875,11407500.0,11407500.0,1039879.6875,22508.24138238415,542.6066296875
