# c0 + a0 * (var:melting_point + ave:boiling_point) + a1 * (var:melting_point * ave:atomic_radius_rahm) + a2 * sqrt(var:melting_point) + a3 * (ave:atomic_radius_rahm^3)
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 12.5731397937344; Max AE: 35.4224181258769
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  4.156799948231139e-04, -1.912204993566662e-06, -9.310746788328456e-02,  2.171628749439707e-05, -4.891999568544996e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; temperature;                                      14|5|add; (var:melting_point + ave:boiling_point); $\left(var:melting_{point} + ave:boiling_{point}\right)$; (var:melting_point + ave:boiling_point); var:melting_point,ave:boiling_point
# 1;  1; length * temperature;                             14|2|mult; (var:melting_point * ave:atomic_radius_rahm); $\left(var:melting_{point} ave:atomic_{radius, rahm}\right)$; (var:melting_point .* ave:atomic_radius_rahm); var:melting_point,ave:atomic_radius_rahm
# 2;  1; temperature^0.5;                                  14|sqrt; sqrt(var:melting_point); $\left(\sqrt{ var:melting_{point} }\right)$; sqrt(var:melting_point); var:melting_point
# 3;  1; length^3;                                         2|cb; (ave:atomic_radius_rahm^3); $\left(ave:atomic_{radius, rahm}^3\right)$; (ave:atomic_radius_rahm).^3; ave:atomic_radius_rahm
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
67          ,  1.178407975639319e+02,  1.251527875325308e+02,  2.152226175999999e+05,  4.607864038399999e+07,  4.629462793888725e+02,  9.938375000000000e+06
44          ,  1.408716465187509e+02,  1.494976384669583e+02,  1.876026160000000e+05,  4.158412189280000e+07,  4.320223096091219e+02,  1.105975635200000e+07
15          ,  1.304908476901080e+02,  1.322102610773020e+02,  2.782145264000000e+05,  6.103507660800000e+07,  5.267182989036929e+02,  1.064800000000000e+07
95          ,  7.035268214247002e+01,  7.195508585985868e+01,  1.095946947600000e+06,  2.313789560230400e+08,  1.046187284189595e+03,  9.447457544000002e+06
39          ,  6.690965549992833e+01,  6.964483995223912e+01,  1.099680667600000e+06,  2.291037432409600e+08,  1.047994348076362e+03,  9.077012056000000e+06
22          ,  8.942508557141944e+01,  8.819933499835162e+01,  6.851503397600001e+04,  1.316104094174880e+07,  2.605962930971966e+02,  7.278825672000001e+06
68          ,  1.728438327749059e+02,  1.434381202587927e+02,  1.629765280640000e+05,  3.551858010685439e+07,  4.021718141093430e+02,  1.059002553600000e+07
80          ,  1.635560662373134e+02,  1.645119720457009e+02,  1.486181256000000e+05,  3.341690275872000e+07,  3.843587719826360e+02,  1.157384872800000e+07
140         ,  9.231264108905833e+01,  9.201774149729151e+01,  1.686540767760000e+05,  3.357828226104479e+07,  4.099505711375458e+02,  7.976023992000001e+06
47          ,  5.673059181818780e+01,  7.786114338969047e+01,  6.820465396000000e+05,  1.396197652480000e+08,  8.252708801357286e+02,  8.615125000000000e+06
30          ,  1.575095787725395e+02,  1.609820299553906e+02,  1.339794256000000e+05,  2.990701448064001e+07,  3.650691244134459e+02,  1.129974278400000e+07
112         ,  7.423809586689029e+01,  8.131354600218313e+01,  9.185546836000000e+05,  1.962432578944000e+08,  9.576139982268430e+02,  9.800344000000000e+06
76          ,  6.221586353440775e+01,  6.792391395912304e+01,  2.627836070959999e+05,  4.998254060911679e+07,  5.118232127365854e+02,  6.946005312000001e+06
137         ,  2.091771198782973e+02,  2.067797272645550e+02,  1.147877270400000e+04,  2.371159608460801e+06,  1.014910474081335e+02,  1.219876760800000e+07
33          ,  9.639831336185570e+01,  9.085136588751206e+01,  1.435626066400000e+04,  2.659870609625601e+06,  1.181943681568627e+02,  6.902411264000000e+06
81          ,  6.779890223639997e+01,  5.955430769394395e+01,  4.233442068559999e+05,  7.959575968127039e+07,  6.499867697545850e+02,  6.687175104000000e+06
142         ,  6.217869364696995e+01,  6.023240580549924e+01,  2.035120848400000e+06,  4.067342668800001e+08,  1.426068488677876e+03,  8.000000000000000e+06
62          ,  1.284855607921225e+02,  1.538539024724336e+02,  8.529820640000001e+04,  1.859797810944000e+07,  2.910158868515600e+02,  1.059002553600000e+07
139         ,  7.773399964038569e+01,  7.422952140809434e+01,  3.222460250960000e+05,  6.277760769135839e+07,  5.668133900112099e+02,  7.460598664000001e+06
135         ,  8.871171279800387e+01,  8.748183953867795e+01,  4.781107573600001e+04,  9.099338003259201e+06,  2.175846266076719e+02,  7.100029447999999e+06
53          ,  1.912036606685361e+02,  2.110445998211283e+02,  4.870226304000001e+03,  9.239423164416002e+05,  6.332587389053546e+01,  1.223059046400000e+07
5           ,  5.646241061036604e+01,  8.175087034422359e+01,  5.102532436000000e+05,  1.036859731865600e+08,  7.136267438934726e+02,  8.439822655999999e+06
85          ,  6.604743166171670e+01,  8.043302365580315e+01,  1.143692116560000e+05,  2.192485320934561e+07,  3.373962146438516e+02,  7.144450776000002e+06
49          ,  7.517971112473752e+01,  8.083172312665120e+01,  6.443740624000001e+05,  1.324553937704000e+08,  8.018649190480901e+02,  8.741816000000000e+06
35          ,  1.142981641844795e+02,  1.021760725615652e+02,  3.426091877600001e+04,  6.608367775427201e+06,  1.830600796897019e+02,  7.668682047999999e+06
34          ,  6.288448403712296e+01,  6.092151681400768e+01,  1.657692787600000e+06,  3.302834628358400e+08,  1.287006788482485e+03,  7.928215784000001e+06
7           ,  6.154031610112789e+01,  8.995162827472419e+01,  5.731166436000000e+05,  1.200096133900800e+08,  7.563194626611165e+02,  9.234565192000002e+06
