2dm_id (unitless),bandgap (eV),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,sum:hhi_p,var:boiling_point,var:c6_gb,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity
5529,0.0,3.359333333333333,22.5,140.89064206399243,197.5,13.649999999999999,50.332245,1068.0116666666665,86.00302042526113,19200.0,1586835.906247222,22611.54472222222,2420000.0,2312500.0,343888.4524999999,2503430.1943091042,35532.082187692984
5715,3.8636,3.9288965,8.25,119.49476859511208,175.25,16.450000000000003,17.36547116,218.6875,48.45132997572941,78168.99417924215,135255.57806874998,261020.56452499997,1857920.4628006553,4283257.321841219,16825.568843749996,848355.0818977976,2139.839421258075
3854,3.3735,2.9013333333333327,18.444444444444443,148.74307830754543,193.55555555555554,16.599999999999998,41.56754888888889,313.23777777777775,57.448471678125955,36200.0,160236.1964172839,49727.842222222214,4578765.432098765,3195802.4691358022,79101.21654320988,2710636.1322387033,2524.2488284550027
4487,2.7866999999999997,4.744,36.400000000000006,156.6122904358975,222.6,18.02,85.6736,1016.36,25.69858576810716,21000.0,918925.9264,59141.85040000001,576000.0,198400.0,31135.770383999996,255560.64,1041.9901070104002
3434,0.0,9.643333333333333,35.33333333333333,150.66666666666666,247.33333333333331,15.566666666666666,82.303,2847.0,112.50660615199533,22000.0,1935942.0,213732.66666666666,575555.5555555555,2562222.222222222,342665.0422222222,460466.6666666666,4237.555555555556
3531,0.4588000000000001,8.479999999999999,36.0,146.66666666666666,238.66666666666663,15.7,83.05533333333334,2188.7333333333336,63.03993948532866,7800.0,3028916.802222222,282250.8888888889,320000.0,2568888.8888888885,594050.0,45000.0,112.30008888888888
3569,0.21469999999999967,2.0564482500000003,11.75,121.80625861996407,176.25,13.075000000000001,24.88785079,758.87,79.92615496849565,28542.248544810536,1444459.3767500003,12002.03326875,1207784.4672618895,1128486.0019520384,324903.115025,1628083.852977544,29988.266068406076
5601,0.8203,4.2925,40.0,143.0884543482906,219.0,14.275,94.63975,1166.6075,43.6,21600.0,998288.30166875,4858.326875,2685000.0,3805000.0,223977.78669999994,1946615.6875,29570.973277601875
3088,1.4594999999999998,6.81,41.5,150.5,237.5,16.15,98.66149999999999,1969.5,73.70857886827704,16800.0,499142.25,56.25,1690000.0,2250000.0,44051.713225000014,4225.0,169.0
3655,2.1897,3.6124444444444443,18.555555555555554,145.68983576316106,194.88888888888889,13.476666666666667,41.609116,991.5711111111111,96.84847167812595,19800.0,2405945.000120987,125779.79777777777,815555.5555555555,3537777.7777777775,875902.4755555555,4924923.611111111,1876.910524801669
3809,4.851,5.566666666666666,27.333333333333332,158.37020542538664,226.0,20.333333333333332,61.370999999999995,675.5999999999999,16.266666666666666,11900.0,236259.38,43414.22222222222,888888.8888888889,9102222.222222222,95659.38,1012357.7230308491,5680.358755555555
5892,1.9671999999999998,4.485714285714286,37.14285714285714,142.14285714285714,226.85714285714283,16.028571428571425,87.89571428571429,1428.6137142857142,31.333991243372537,54000.0,786781.7381982041,30643.061224489797,2656326.5306122447,171020.4081632653,78215.01275510201,1977090.5139197363,515.0470265306122
5281,1.8056,4.1075,29.5,130.75,218.75,13.2,69.8275,1774.162,94.6,64800.0,1721400.0952439997,27724.207499999997,5620000.0,5171875.0,851512.98,35057253.87659896,374.45675625
5141,1.8263,3.9604,28.400000000000006,143.64028406228167,218.2,16.36,64.7278,1068.3676,35.10120817010446,35400.0,522511.63648064004,41412.4944,12678400.0,1614400.0,109368.4056,1781507.4825847212,136.572860015424
4791,3.6071,4.882183866666667,9.866666666666667,126.54723479122998,177.6,15.306666666666668,21.767435904000003,563.0013333333334,61.335605484021315,29813.372817215804,1859383.3324648887,317972.9216062223,2081692.2976318835,2008624.7859237348,377831.3730160001,1061337.0555555555,2237.2200407583364
4765,2.7401999999999997,4.516,26.400000000000002,149.0122904358975,219.6,17.08,58.75959999999999,1234.3600000000001,35.806173508828714,13100.0,1543556.9664,47464.6264,2281600.0,217600.0,161742.16806399997,4060055.04,1257.9367070104
3860,0.18609999999999993,7.774,24.0,127.4,224.0,11.580000000000002,52.38874800000001,3313.1296,77.67999999999999,18900.0,4491370.77159424,256093.18560000003,14857600.0,15265600.0,1923891.7600000002,34583184.56485397,2618.115686
3765,2.134,3.535,32.0,144.5153630448719,212.75,16.159999999999997,74.64175,1279.7,80.825,20000.0,3251667.6300000004,33851.251875,3000000.0,12301875.0,1182021.87,4000342.6875,4218.249389851875
4742,2.1443,3.6833333333333327,39.33333333333333,140.59486859924027,220.0,15.355555555555556,93.37639944444444,652.7873333333333,14.322222222222221,24100.0,26654.33728444444,4640.968888888889,4590617.283950618,1402222.222222222,67805.2103111111,1899632.8549585124,229.95897923061727
4331,3.0558999999999994,4.2379999999999995,14.0,132.682409445632,186.33333333333331,13.81,29.997635439999996,1038.34,84.53262633150844,12200.0,1817676.1777999997,108515.87555555554,568888.8888888889,1502222.222222222,958161.7024222222,2153620.6038974617,1962.39848162
3539,2.1727,5.6625,52.5,152.80469358729724,240.0,23.875,125.6183525,820.125,16.275,45200.0,394490.671875,2479.6875,1687500.0,367500.0,50155.469999999994,3207.1374067798124,103.99680018749999
3696,0.0242,7.116666666666666,59.66666666666666,154.16666666666666,243.16666666666663,16.906666666666666,147.26081333333332,2525.5,130.0,38800.0,3327564.583333333,23218.138888888883,1075555.5555555555,2474722.222222222,1156918.7533333332,670886.8055555555,2965.25
4181,1.3626,3.992,39.4,141.0,224.8,16.26,93.6957524,811.4060000000001,12.18,28200.0,32867.443744000004,663.3599999999999,1801600.0,1266400.0,11701.853824,791529.8028830584,9.874210560000005
5206,2.109,5.6625,52.5,152.80469358729724,240.0,23.875,125.6183525,820.125,16.275,90400.0,394490.671875,2479.6875,1687500.0,367500.0,50155.469999999994,3207.1374067798124,103.99680018749999
5491,0.9824000000000006,5.35,53.0,150.73959144972966,238.0,25.7,126.90447,457.5,7.7,19600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5467,0.0,3.7766666666666664,25.666666666666664,130.66666666666666,217.33333333333331,13.799999999999999,56.48458733333333,1561.2746666666665,66.23333333333333,11800.0,1718971.180216889,48314.88888888889,1042222.2222222222,8246666.666666666,483177.77555555553,176045.06530420328,1144.9549646666667
