,bandgap (eV),ave:Polarizability,ave:atomic_number,ave:atomic_radius,ave:atomic_radius_rahm,ave:atomic_volume,ave:atomic_weight,ave:boiling_point,ave:bulk_modulus,sum:hhi_p,var:boiling_point,var:c6_gb,var:hhi_p,var:hhi_r,var:melting_point,var:sound_velocity,var:thermal_conductivity,r1_1term,r1_2term,r1_3term,r1_4term,r2_1term,r2_2term,r2_3term,r2_4term
5209,1.5727,10.788571428571428,39.285714285714285,160.85714285714283,232.57142857142856,22.67142857142857,92.12454285714286,1229.9142857142856,17.1,61200.0,183921.05551020405,2316847.2653061226,6630612.244897959,1379591.836734694,44840.30244897958,527306.1224489795,406.9037714285714,1.4371383718391861,1.2726817647207103,1.415204897485098,1.5370536076552765,1.2494989163199979,1.3523846864311695,1.4435593399272144,1.5299358686771474
5328,0.0,28.14,63.99999999999999,200.33333333333331,271.66666666666663,30.933333333333334,158.41533333333334,1483.2433333333333,14.73333333333333,11500.0,364242.50508888887,6176440.888888888,1388888.888888889,142222.22222222222,130976.44408888891,10082.0,20.908888888888885,1.1518630127332816,0.977042089643029,1.1151883467609691,1.0574638356488468,-0.3286273482939558,-0.32490660582025366,0.22287865143582491,0.10533611748696245
3161,0.0,12.6,17.0,153.5,248.5,12.3,36.086,2461.5,77.5,51200.0,1206702.25,81510.25,4410000.0,302500.0,255530.25,53361.0,4761.0,0.28482711368486324,0.1538290847663335,0.19333071722815465,0.510428468137559,-0.6106527944555619,-0.6404584766162329,-0.7731687229929884,-0.810993076480635
3977,3.1845,1.9522666666666666,15.666666666666668,137.4188913347584,179.33333333333334,16.626,35.09592546133333,471.408,51.03915159781013,35400.0,601966.0576160001,46981.97795555554,4722400.0,412622.22222222225,194701.40353955553,351948.48100099876,66.85285236640001,2.6487760904160274,2.442742280025356,2.6504096329767552,2.763180059607148,3.0977313328197082,3.313354725125856,3.5865872436734194,3.50965577320945
5496,2.17,5.089999999999999,48.0,147.80469358729724,236.25,22.549999999999997,113.90875125,562.125,11.275,36000.0,32839.171875,3120.1875,480000.0,120000.0,92743.29187500001,22898.365965143108,460.36905018749997,2.4544103747062014,2.217022921940198,2.3964576067205674,2.344402981827476,1.8864767225635095,2.02796237375548,1.6411363893924518,1.869716856249755
5233,0.06469999999999976,3.458285714285714,32.42857142857142,150.40081160651903,200.14285714285714,15.1,77.92897142857143,995.2514285714285,72.34630905744129,28400.0,1179405.3002693877,47737.564897959186,4419183.673469387,5846938.775510204,204412.13265306118,1346895.4081632653,19341.8683722032,1.7388742117267473,1.6131516409764233,1.216195122087452,1.1988118587367396,1.4010092051634437,0.9778988871617398,1.3164014406058449,1.382163959893081
3077,2.1348000000000003,3.5410000000000004,29.0,154.10071015570415,209.5,15.15,67.3545,1316.595,67.05302042526114,6200.0,1504069.224025,121905.7225,1102500.0,302500.0,50692.52250000001,1190826.5625,1121.3597466241,1.3354562573129671,1.2036604618342404,1.3253686238249056,1.2560112347878896,1.5146716167085272,1.6137523097343323,1.9576058982912314,1.9332258106509421
3239,0.9895999999999999,4.2804,41.2,148.04028406228167,219.8,17.520000000000003,99.61596,1058.3676,30.701208170104458,25000.0,505868.98848064005,43181.966400000005,5232000.0,6440000.0,31979.5224,1822048.1112475633,14.810504815423998,1.6534208616463486,1.5533134117036322,1.7138760966877085,1.6583712353947306,1.4196953937652825,1.5339086806971474,1.60076195185137,1.4502836474018765
3652,1.8151000000000002,4.1875,45.5,152.16648110356,222.5,19.759999999999998,107.98225,1349.675,81.425,30800.0,3107597.8518749997,21042.1875,907500.0,907500.0,1095444.826875,1041989.16616552,4212.0027,1.2978291498825696,1.1602075521787247,1.2145418246405155,1.2082323166118702,1.6706636343409782,1.720844090379956,1.606960848636543,1.4921770248372832
5796,1.6432000000000002,5.5518947368421045,10.842105263157894,143.71676126570043,189.21052631578948,12.48,22.62375789473684,799.4089473684211,86.91465952930471,49400.0,1324017.1198304708,219742.76515235458,1389473.6842105263,2853019.3905817172,693309.8610620496,6879335.4224376725,1793.8856660019924,2.029548552670251,2.3105068280094443,2.4152213356143584,2.723987273517977,1.4619415781189473,1.5326215405257513,2.024821871367476,2.0091653079374887
3332,0.0,6.56,18.333333333333332,140.4512724643875,225.66666666666666,14.933333333333332,38.459,1505.4746666666665,39.6,6600.0,2148813.113016889,260203.20222222223,106666.66666666666,79999.99999999999,615481.7866666666,3186942.653097993,106.51877326888888,1.1284294114043565,1.0772879986174102,1.2095820539339401,1.1420474313022537,1.3104546814647104,1.4173253860922999,1.1155855818116374,0.9483612072825023
5833,5.220599999999999,1.787894736842105,7.578947368421051,94.63157894736841,188.63157894736844,10.484210526315788,15.533894736842104,2655.8526315789472,75.41679279061431,21800.0,5600438.803545706,3158.00243767313,520387.811634349,286371.1911357341,3095183.0015673125,74780571.71324098,4447.455053719177,0.14165163709739925,1.6513551167720264,1.650616581526763,2.558384060883431,2.5381919533145028,2.63012922095949,1.8659037343602989,1.848538639345835
5181,0.0,4.787866666666667,34.99999999999999,158.72085218684498,204.53333333333333,17.74666666666667,85.10086666666668,792.2473333333334,60.82898945473902,35200.0,742164.3044862223,626321.0358222222,5182488.888888888,6500000.0,92443.91048888888,1298512.608225764,77.840689559136,2.0410381652365426,1.9169330018161412,2.094411750039497,2.0623140203878596,1.5500768909436484,1.6710251532580482,2.2064431919163163,2.1178339541793676
2997,0.0,12.676666666666666,20.333333333333332,151.33333333333331,241.33333333333331,16.233333333333334,42.36539799999999,2509.333333333333,99.0,23400.0,327206.8888888889,760761.5555555555,426666.6666666666,508888.8888888889,84844.66666666666,1085622.222222222,1666.6666666666665,0.24890920886585732,0.14355199383782313,0.2174489596215059,0.2534396505444638,0.11989200417012236,0.1451579548404769,-0.03662097422996902,-0.2299590623933423
4903,1.5629000000000002,4.602222222222222,38.0,144.85640386514723,222.66666666666666,16.344444444444445,88.97524444444446,1262.9635555555556,31.92222222222222,72400.0,749534.3689971359,26375.290617283947,3180987.654320987,4151111.111111111,144839.3733333333,1828905.1314320778,31615.65518598691,1.397822518157306,1.2945014045543255,0.7183757201160388,0.8550401190518451,1.2586735506262676,1.1337962504567054,0.8810636427367045,1.5280384786985333
