# c0 + a0 * (cbrt(var:c6_gb) / (ave:atomic_volume * ave:atomic_radius_rahm)) + a1 * (cbrt(var:c6_gb) / ave:atomic_volume) + a2 * ((var:melting_point * ave:atomic_radius_rahm) / (var:melting_point + var:boiling_point)) + a3 * ((ave:atomic_radius_rahm^2) * cbrt(ave:atomic_volume))
# Property Label: $Volume$; Unit of the Property: length^3
# RMSE: 9.27453133483869; Max AE: 22.3173272639586
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  5.625990315322635e+03, -3.567568953522600e+01, -5.442067807826219e-01,  2.187059985842607e-03, -8.843615884778849e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; energy^0.333333 * length^-6;                      11|cbrt|3|2|mult|div; (cbrt(var:c6_gb) / (ave:atomic_volume * ave:atomic_radius_rahm)); $\left(\frac{ \left(\sqrt[3]{ var:c6_{gb} }\right) }{ \left(ave:atomic_{volume} ave:atomic_{radius, rahm}\right) } \right)$; (nthroot(var:c6_gb, 3) ./ (ave:atomic_volume .* ave:atomic_radius_rahm)); var:c6_gb,ave:atomic_volume,ave:atomic_radius_rahm
# 1;  2; energy^0.333333 * length^-5;                      11|cbrt|3|div; (cbrt(var:c6_gb) / ave:atomic_volume); $\left(\frac{ \left(\sqrt[3]{ var:c6_{gb} }\right) }{ ave:atomic_{volume} } \right)$; (nthroot(var:c6_gb, 3) ./ ave:atomic_volume); var:c6_gb,ave:atomic_volume
# 2;  2; length;                                           14|2|mult|14|10|add|div; ((var:melting_point * ave:atomic_radius_rahm) / (var:melting_point + var:boiling_point)); $\left(\frac{ \left(var:melting_{point} ave:atomic_{radius, rahm}\right) }{ \left(var:melting_{point} + var:boiling_{point}\right) } \right)$; ((var:melting_point .* ave:atomic_radius_rahm) ./ (var:melting_point + var:boiling_point)); var:melting_point,ave:atomic_radius_rahm,var:melting_point,var:boiling_point
# 3;  2; length^3;                                         2|sq|3|cbrt|mult; ((ave:atomic_radius_rahm^2) * cbrt(ave:atomic_volume)); $\left(\left(ave:atomic_{radius, rahm}^2\right) \left(\sqrt[3]{ ave:atomic_{volume} }\right)\right)$; ((ave:atomic_radius_rahm).^2 .* nthroot(ave:atomic_volume, 3)); ave:atomic_radius_rahm,ave:atomic_volume
# Number of Samples Per Task
# Task, n_mats_train            
# all , 116                   

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
28          ,  9.362157646373184e+01,  1.106515419098183e+02,  3.364227207126210e-02,  6.479501600925081e+00,  1.520572300552709e+01,  1.139668552927784e+05
40          ,  1.876581343779474e+02,  2.029461968650799e+02,  2.237391197259624e-02,  5.114676276935500e+00,  1.480701357660819e+00,  1.594754403378082e+05
86          ,  6.540869502383295e+01,  7.101104688933673e+01,  3.331804781160065e-02,  6.696927610131731e+00,  5.049340044208564e+01,  1.090032071050189e+05
24          ,  9.809953691058023e+01,  1.011507009293818e+02,  3.048939794749528e-02,  6.042998673193566e+00,  3.056386263205513e+01,  1.144344506518097e+05
25          ,  1.397570909097410e+02,  1.348646831085283e+02,  3.175619640556241e-02,  6.935553294974830e+00,  4.036244449304959e+01,  1.435886316098303e+05
23          ,  1.776115625775598e+02,  1.722743392907001e+02,  2.957687493965461e-02,  6.595643111542979e+00,  4.633281655978767e+00,  1.518645430612364e+05
115         ,  1.348472579215662e+02,  1.289242080374276e+02,  2.796329811923635e-02,  6.056850372626594e+00,  3.992554018971854e+01,  1.361870216467605e+05
67          ,  1.178407975639319e+02,  1.227864803404312e+02,  2.899649354463969e-02,  6.234246112097534e+00,  3.745493568784780e+01,  1.330017960034043e+05
44          ,  1.408716465187509e+02,  1.586448774660625e+02,  2.470612667050046e-02,  5.504525022187502e+00,  3.679265796211084e+01,  1.483659107264531e+05
15          ,  1.304908476901080e+02,  1.165470872765638e+02,  2.799674346651126e-02,  6.159283562632478e+00,  6.910266228331209e+01,  1.393727954509479e+05
95          ,  7.035268214247002e+01,  6.109900328573129e+01,  4.280756049834365e-02,  9.049518289349848e+00,  4.832471797488232e+01,  1.178964853053373e+05
39          ,  6.690965549992833e+01,  7.304830744343019e+01,  3.217317962344540e-02,  6.711325269450709e+00,  4.818796947336331e+01,  1.125409670206839e+05
68          ,  1.728438327749059e+02,  1.505265055109473e+02,  9.653167013086886e-03,  2.119835476073880e+00,  2.082835755265799e+01,  1.241920970215927e+05
80          ,  1.635560662373134e+02,  1.710609900000532e+02,  2.753406369032321e-02,  6.228205206751110e+00,  3.958558776150937e+01,  1.592681664143821e+05
140         ,  9.231264108905833e+01,  1.040948195152221e+02,  2.750611860862889e-02,  5.495722498004053e+00,  5.407538361824447e+01,  1.203779060528772e+05
47          ,  5.673059181818780e+01,  5.089708943651144e+01,  3.404238463894174e-02,  6.978688850983057e+00,  6.911835927771602e+01,  1.071737127095476e+05
30          ,  1.575095787725395e+02,  1.528104031935357e+02,  2.273128453991862e-02,  5.100900250757738e+00,  5.881125472413019e+01,  1.496731661624628e+05
112         ,  7.423809586689029e+01,  7.579634409131280e+01,  4.106515809141415e-02,  8.787943831562629e+00,  3.706580021094484e+01,  1.220303688719135e+05
76          ,  6.221586353440775e+01,  6.953070897393161e+01,  1.374870963480440e-02,  2.623253798320679e+00,  4.166935391363510e+01,  9.002034460609357e+04
137         ,  2.091771198782973e+02,  2.062797837402504e+02,  8.231405820160407e-03,  1.894869619800926e+00,  2.178170554045712e+00,  1.450313620415326e+05
33          ,  9.639831336185570e+01,  8.939270000540709e+01,  3.140073062360494e-02,  5.978699110734381e+00,  1.587112285796711e+01,  1.020091080683446e+05
81          ,  6.779890223639997e+01,  6.179269753940667e+01,  3.412860061507777e-02,  6.429828355880652e+00,  4.654599416778190e+01,  9.736398958567201e+04
142         ,  6.217869364696995e+01,  6.440393054176307e+01,  3.399313314090096e-02,  6.798626628180191e+00,  5.657193452607068e+01,  1.074170696259228e+05
139         ,  7.773399964038569e+01,  7.296947554803222e+01,  1.568987265497221e-02,  3.065801116781570e+00,  4.202593157884441e+01,  9.390685663527292e+04
135         ,  8.871171279800387e+01,  8.049432828404805e+01,  3.146151230426977e-02,  6.046902664880650e+00,  3.403147390641666e+01,  1.034155011973226e+05
53          ,  1.912036606685361e+02,  2.091446023073594e+02,  2.592996455566302e-02,  5.974263833624761e+00,  1.493042625910293e+00,  1.671867894370532e+05
5           ,  5.646241061036604e+01,  5.677754355412209e+01,  3.440294299641822e-02,  7.004439194070749e+00,  5.426728138308528e+01,  1.056596071167137e+05
85          ,  6.604743166171670e+01,  7.263053853496058e+01,  3.099079725862033e-02,  5.968827552010277e+00,  5.160337945641398e+01,  1.041296175057513e+05
49          ,  7.517971112473752e+01,  8.456691297222969e+01,  2.123896969935754e-02,  4.375227758067653e+00,  3.431641600481476e+01,  1.043763449043011e+05
35          ,  1.142981641844795e+02,  1.154078157056568e+02,  3.487506719228782e-02,  6.877363250319158e+00,  6.956642925158868e+00,  1.174077137052980e+05
77          ,  1.735436897724758e+02,  1.900309496932742e+02,  2.653980235364375e-02,  5.997995331923486e+00,  1.704817054593468e+01,  1.611363150149651e+05
34          ,  6.288448403712296e+01,  6.908166217448856e+01,  3.507560844151997e-02,  6.994076323239083e+00,  5.736562836236848e+01,  1.101570366693107e+05
131         ,  7.332445965687805e+01,  8.314275053253650e+01,  4.069006053590408e-02,  8.577464760968581e+00,  2.341460993957945e+01,  1.195241026207523e+05
7           ,  6.154031610112789e+01,  7.407246509323642e+01,  3.210911096831900e-02,  6.736491481153326e+00,  4.885962180661875e+01,  1.137517006127071e+05
43          ,  9.003176998171779e+01,  8.582645054041907e+01,  3.758583487901819e-02,  7.239031797698905e+00,  3.723262301013833e+01,  1.103420869964552e+05
70          ,  5.876522370994315e+01,  5.887278255892559e+01,  2.444783175919119e-02,  4.826001989264340e+00,  5.111895980853972e+01,  9.590770773385721e+04
89          ,  1.845971359160373e+02,  1.653163088696789e+02,  1.107683865133818e-02,  2.463488916057612e+00,  3.988801619119953e+00,  1.287078000575557e+05
129         ,  7.058438955216727e+01,  7.598724634133733e+01,  3.468186505256137e-02,  6.561808867944611e+00,  3.452979747845359e+01,  1.015939094553893e+05
8           ,  1.379771288780131e+02,  1.360168722769509e+02,  1.744445314998777e-02,  3.788935224177342e+00,  7.958637663481261e+00,  1.215397518479539e+05
13          ,  6.359044555550145e+01,  6.279705113412265e+01,  2.529017585341259e-02,  5.002396783805009e+00,  4.596131790335927e+01,  9.712917907174744e+04
108         ,  2.276117669121919e+02,  2.272586759154764e+02,  2.400896170255954e-02,  5.747745431592754e+00,  2.361499853826997e+01,  1.822203667028765e+05
114         ,  1.245825633863354e+02,  1.086708306689243e+02,  2.822583745029737e-02,  6.158877731654885e+00,  7.659632930051885e+01,  1.370402069206783e+05
3           ,  1.766257549836612e+02,  1.650986240578252e+02,  2.966001121345249e-02,  6.578590487143763e+00,  1.451485026121642e+01,  1.505503648417055e+05
17          ,  1.154201413293227e+02,  1.314921039512854e+02,  8.564435953935521e-03,  1.844779504477711e+00,  3.411151586011257e+01,  1.171080490798234e+05
38          ,  2.142336089710759e+02,  2.096502685560433e+02,  2.549440776150224e-02,  5.889208192907017e+00,  8.867722502138788e+00,  1.689860252802201e+05
72          ,  1.505744324222536e+02,  1.606833300365723e+02,  2.786789700628232e-02,  6.247982508808498e+00,  4.758905767994634e+01,  1.559785028820029e+05
120         ,  2.717063705144595e+02,  2.578524152497690e+02,  2.040663101871440e-02,  5.069007145048657e+00,  6.233585995388683e+01,  2.040387512633325e+05
6           ,  1.752395240612576e+02,  1.660602046692620e+02,  2.587195233731982e-02,  5.722875857015143e+00,  4.639772482329636e+00,  1.443186516335452e+05
101         ,  6.465769186928596e+01,  6.315291826697994e+01,  1.080064308749832e-02,  2.011079742892187e+00,  3.499116130997555e+01,  8.304017661665888e+04
2           ,  5.771548700058894e+01,  6.598011358498246e+01,  3.298414727293639e-02,  6.887089950589119e+00,  5.458583812508000e+01,  1.116820969785676e+05
122         ,  2.014000729838491e+02,  2.041286789265267e+02,  2.220603810715505e-02,  5.085182726538506e+00,  2.654597522420476e+00,  1.602589480235824e+05
54          ,  8.998190321387162e+01,  9.660987263594731e+01,  2.711618234551493e-02,  5.385273813819266e+00,  5.259458264854423e+01,  1.157884735729141e+05
50          ,  1.144884087492389e+02,  1.135026401240134e+02,  2.836760015290970e-02,  6.064992912692093e+00,  3.698800022910186e+01,  1.274975911801396e+05
104         ,  1.531720861969143e+02,  1.354295961067941e+02,  2.625331966942682e-02,  5.702221032199506e+00,  2.540290701124489e+01,  1.341618136227607e+05
46          ,  6.638274984747244e+01,  6.878799347970320e+01,  4.009189992289129e-02,  8.034416744547412e+00,  4.186951963191435e+01,  1.102331655582969e+05
105         ,  6.260542136940490e+01,  6.882895984620457e+01,  3.577738304898857e-02,  7.656359972483555e+00,  4.893077394979696e+01,  1.169406829849416e+05
