material_id,formula,bandgap (eV)
3838,InS2Tl,1.5931
5749,I2Pd,1.1895000000000002
4112,CrSiTe3,0.5923999999999998
3399,AsCoLi,0.0
5658,Cl7FeSe,1.2459000000000002
5582,Br2Fe,0.0
5068,F3OSb,2.732
4409,CoI2O6,2.5853
4907,O7Si2SrTi,3.6174
5719,Hg3O10Se3,2.3436
3741,H2O6P2Zr,4.134
3665,IO3,1.9443000000000006
5189,Ag3IS,0.6053000000000002
3079,MoO4Zn,3.0685
4684,ClY,0.0
4673,KSb2Se4,1.3655
3508,O5P2,5.2256
4472,Bi10Ca2O17,1.9624000000000001
3173,MgTi,0.0
3772,O3Tl2,0.6627000000000001
3941,S3SnTl2,1.3332
3998,Cl2Mg,5.3366
4086,STl2,1.4533
4023,H2FeO2,0.0
3485,O3Tl4,1.1298000000000001
3689,CuSbSe2,0.15229999999999988
4565,AuBr,1.9037
4165,AgFO2,0.0
3463,PSi,1.9513999999999998
5755,IO2,1.7444000000000002
4114,C4BKO8,2.9249
3199,PbS,2.2504
3686,Cl3Re,1.2066000000000003
4416,CoO3Sr2,0.8491
4562,F3LiOV,2.1386000000000003
3600,Cl3Mo,0.1261000000000001
3272,MgSb,0.0
5130,BBiO3,3.7412
3567,F2O3Te2,3.2906000000000004
4052,GaS,2.3015
3337,CaMg,0.0
3662,NaO2S,2.3045
3222,MgTi,0.0
4931,BrCuSe2,0.7595999999999998
4792,B2Hg3O6,3.4067000000000003
4038,FePS3,0.0
3618,OSn,3.0232
4741,Se2V,0.0
3319,GeTe,0.9309000000000001
4531,CuFO2,0.8411
4586,Cl8Hg2PdRb2,1.5560999999999998
5773,AlBiCl6,3.998
3637,HISr,3.9292000000000002
3000,Ga2S5Zn2,0.0
3231,CdS,1.6771999999999996
4392,H6CaO9P2,4.5598
3459,NaO8Sb5,2.9356999999999998
3487,CIY,0.0
3897,H4INaO2,3.8925
3474,CdCl2,3.9477
3858,ORb2,0.3167
4762,ClFPb,2.9023999999999996
5355,GeO3Ti,1.8012000000000001
3779,AsO3Sb,3.9209
4547,ClHfN,3.463
3537,KNb3O8,2.4264
3521,Ni2ScSi3,0.0
5437,CaI4Pb,3.0145
4845,Te3Y,0.0
3788,AuPS,0.7426000000000001
3211,KO4P,0.012199999999999989
3763,AlO2,0.0
5299,BiO3Y,3.3883
5510,C6FeN6Pb2,3.3291999999999997
4560,AsNaO2,4.2768
3975,Bi2O5Ti,1.9854
4984,Ni2SbTe2,0.0
4289,CuLiO9P3,0.4016000000000002
3251,Bi2Mg,0.0
5409,Co3LiO6,0.5116999999999998
3822,As2S6SnTl2,1.6514
3675,HgI2,1.8584999999999998
4096,AgBiO2,0.03949999999999998
5417,O13Re2S2,2.3876999999999997
4039,MoO3,0.6776
3789,H4CdO4P2,4.554
3842,Co2O8Te3,2.4755000000000003
5072,HSi3,0.9227
4751,O13V6,0.0
5535,CdPSe3,1.5337000000000003
5543,As2K2Pd,0.4231
3148,CdO2,0.04490000000000016
4233,BrOSc,3.4976000000000003
3690,CuLiO6P2,2.4231000000000003
3950,C3I6OY7,0.0
3875,BiIO3Te,2.4013
3249,O7SrTa2,0.0
3912,AsO2Rb,4.1262
4814,H2O7SrTa2,2.2241
5735,Cu2F7Li2,0.0
3678,CuInP2Se6,0.5503999999999998
3628,AsGeSe,1.7883999999999998
3928,Br5Te2Zr,1.1225999999999998
4408,CrMn2O6,0.7400000000000002
5400,I3NaO8,3.4210000000000003
4007,LiO3Te,2.5377
4743,F2NbO,0.0
3683,O2Te,2.5369
3502,S2Ta,0.0
3819,Br2Ca3Cu2O4,0.0
5413,BiBrCdSe2,0.7898000000000001
5279,I7OY3,2.5761000000000003
4369,H2Mg2O3,2.6736
4246,IOY,3.5429
4229,CuLiO2,0.6249999999999996
3575,Cu2O4S,2.1967999999999996
3196,LiMnSe2,0.0
3284,AuCuSn,0.0
3465,AgClO2,1.3769000000000002
5768,P3S9Zn2,1.7018
5370,H4BaO3,3.7203
3481,Ag2FIO,0.8867999999999998
4452,Mo3O8,1.2461000000000002
4214,ClCuSe2,0.7783000000000002
4940,H3AlO3,4.1711
5898,BiFO,3.2822
5359,MoTe2,1.0563
3390,CoTe2,0.0
3138,N3W2,0.0
5907,Cu2O4W,0.7605000000000004
4686,BiGaIn2S6,0.5896000000000001
4305,AlF3,7.7803
3982,C,9.999999999976694e-05
5631,Li2O12P4Sn,1.3024000000000004
4511,O5Te2Tl2,3.1308
4050,H2Mg3O12Si4,5.3821
4808,Bi2SeTe2,0.8830000000000001
5136,In2S4Zn,1.8671
3472,AgF12Ta2,0.7224000000000004
3462,Bi2STe2,0.9331
5529,Cu2IO3,0.0
5715,H4BrNaO2,3.8636
3854,I2MgO6,3.3735
4487,Cl3InPb,2.7866999999999997
3434,SiTeZr,0.0
3531,Se2Zr,0.4588000000000001
3569,HCuFO,0.21469999999999967
5601,ClCuHgSe,0.8203
3088,GaTe,1.4594999999999998
3655,MnMoO6Te,2.1897
3809,Br2Mg,4.851
5892,GePb2S4,1.9671999999999998
5281,BS2Tl,1.8056
5141,OS2Sb2,1.8263
4791,H6HfNa2O6,3.6071
4765,Cl3GeIn,2.7401999999999997
3860,CNb2S2,0.18609999999999993
3765,Cl3Ir,2.134
4742,AsClHg3S4,2.1443
4331,CrF2,3.0558999999999994
3539,I3Sb,2.1727
