# FEAT_ID     Feature Postfix Expression (RPN)
0             27|8|mult
1             23|15|mult
2             7|inv
3             26|15|div
4             17|1|mult
5             15|sqrt
6             15|cbrt
7             8|26|div
8             27|15|div
9             27|1|mult
10            19|1|div
11            24|cbrt
12            27|cb
13            1|15|div
14            9|7|mult
15            17|8|mult
16            3|cbrt
17            13|1|mult
18            26
19            20|2|div
20            28|6|div
21            19|11|div
22            6|3|div
23            20|1|div
24            25|18|add
25            4|1|div
26            22|18|add
27            20|9|div
28            21|7|div
29            21|8|div
30            19|8|div
31            8|15|div
32            20|4|div
33            27|26|mult
34            27|4|mult
35            16|log
36            24|15|add
37            18|9|div
38            22|20|add
39            20|1|mult
40            18|1|mult
41            10|15|div
42            23|16|div
43            17|13|mult
44            8
45            13|sq
46            17|4|mult
47            21|4|div
48            26|sqrt
49            4|27|div
50            20|5|div
51            25|20|add
52            19|4|div
53            20|8|mult
54            29|sq
55            26|8|add
56            13|8|mult
57            10|24|div
58            23|18|div
59            18|16|mult
60            21|28|div
61            26|cbrt
62            23|13|div
63            28|23|mult
64            18|8|mult
65            23|1|div
66            21
67            9|27|div
68            12|21|div
69            20|4|mult
70            23|11|div
71            25|13|add
72            23|20|div
73            13|4|mult
74            22|13|add
75            19|16|div
76            18|29|div
77            4|15|div
78            1|27|div
79            1
80            8|1|add
81            4|26|div
82            8|4|add
83            20|inv
84            26|1|add
85            24|21|mult
86            27|sq
87            4|1|add
88            26|4|add
89            24|inv
90            18|4|mult
91            4
92            7|3|div
93            12|6|mult
94            17
95            23|14|div
96            27|26|add
97            17|inv
98            1|26|div
99            29|cbrt
100           23|3|div
101           23|8|div
102           19|3|div
103           20|cb
104           8|sqrt
105           24|3|div
106           28|7|div
107           29|sqrt
108           23|4|div
109           10|28|div
110           28|22|div
111           16|10|div
112           27|8|add
113           29
114           18|sq
115           17|15|div
116           8|cbrt
117           26|29|div
118           27|29|div
119           26|inv
120           21|15|mult
121           16|21|div
122           17|sqrt
123           26|10|div
124           14|1|mult
125           27|1|add
126           17|cbrt
127           26|17|mult
128           23|6|div
129           21|3|div
130           3|inv
131           27|4|add
132           19|6|div
133           28|cb
134           16|15|div
135           15|26|div
136           26|9|div
137           1|29|div
138           27
139           24|26|div
140           26|18|mult
141           10|29|div
142           4|sqrt
143           28|25|div
144           24|1|div
145           26|20|mult
146           12|9|sub
147           13|15|div
148           14|cb
149           1|sqrt
150           15|3|div
151           4|cbrt
152           8|29|div
153           29|3|div
154           14|8|mult
155           27|sqrt
156           20|3|div
157           20|sq
158           1|cbrt
159           27|3|div
160           28|24|mult
161           26|3|div
162           14|4|mult
163           27|cbrt
164           8|21|div
165           17|13|add
166           27|17|mult
167           12|9|abd
168           23|7|div
169           24|27|div
170           12|29|div
171           20|8|add
172           1|21|div
173           15|27|div
174           27|10|div
175           22|14|add
176           25|14|add
177           21|sq
178           20|cbrt
179           18|3|div
180           23|10|div
181           17|14|mult
182           18|21|div
183           27|9|div
184           19|7|div
185           12|15|div
186           20|sqrt
187           20|4|add
188           20|1|add
189           26|24|div
190           15|1|div
191           20
192           24|11|div
193           20|10|div
194           12|11|mult
195           27|18|mult
196           17|8|add
197           18|8|add
198           12|inv
199           26|20|add
200           1|24|div
201           16|24|div
202           18|1|add
203           27|12|mult
204           26|21|div
205           26|17|add
206           9|6|mult
207           26|18|add
208           28|1|div
209           4|29|div
210           14|13|mult
211           28|3|div
212           20|12|mult
213           26|13|mult
214           27|24|div
215           27|20|mult
216           17|1|add
217           16|inv
218           29|1|div
219           13
220           4|21|div
221           18|4|add
222           27|inv
223           8|24|div
224           24|4|div
225           29|21|mult
226           17|4|add
227           24|12|div
228           21|11|sub
229           15|11|div
230           18|17|mult
231           18
232           17|29|div
233           12|5|add
234           20|17|mult
235           18|12|mult
236           18|24|div
237           4|24|div
238           27|13|mult
239           24|8|div
240           27|20|add
241           16|nexp
242           27|21|div
243           15|4|div
244           27|18|add
245           27|17|add
246           15|8|div
247           26|12|mult
248           29|11|div
249           28|15|add
250           13|sqrt
251           13|inv
252           28|11|div
253           21|12|div
254           18|sqrt
255           21|cb
256           28|24|add
257           28|15|mult
258           20|15|div
259           11|9|mult
260           13|1|add
261           29|26|div
262           14|15|div
263           18|cbrt
264           10|sqrt
265           28|12|div
266           13|cbrt
267           13|8|add
268           18|13|mult
269           16|28|div
270           16|29|div
271           29|4|div
272           13|29|div
273           26|13|add
274           18|inv
275           21|16|sub
276           13|4|add
277           17|21|div
278           28|4|div
279           17|14|add
280           19|10|div
281           29|8|div
282           21|9|mult
283           20|13|mult
284           5|sqrt
285           1|28|div
286           15|12|div
287           20|18|mult
288           28|sq
289           21|26|div
290           4|5|div
291           28|8|div
292           29|27|div
293           21|17|div
294           20|17|add
295           14|sq
296           29|12|div
297           12|24|div
298           16|12|mult
299           18|17|add
300           27|13|add
301           12|sqrt
302           8|28|div
303           20|18|add
304           1|5|div
305           4|2|div
306           11|5|div
307           8|5|div
308           15|18|div
309           17|24|div
310           14|13|add
311           12|28|div
312           12|9|add
313           8|2|div
314           29|28|mult
315           26|14|mult
316           21|20|div
317           4|28|div
318           11|2|div
319           14|1|add
320           12|2|add
321           13|21|div
322           15|17|div
323           24|17|div
324           14|8|add
325           25|12|mult
326           14|4|add
327           17|12|mult
328           28|17|div
329           10|cbrt
330           26|14|add
331           2|sqrt
332           1|2|div
333           24|18|div
334           5|cbrt
335           21|27|div
336           17|28|div
337           20|13|add
338           13|24|div
339           18|13|add
340           9|inv
341           20|29|div
342           12|1|mult
343           14|12|mult
344           27|14|mult
345           13|28|div
346           12|8|mult
347           28
348           21|18|div
349           14|29|div
350           20|24|div
351           12|4|mult
352           22|12|mult
353           15|20|div
354           26|28|div
355           12|cbrt
356           28|inv
357           18|14|mult
358           24|20|div
359           28|13|div
360           20|14|mult
361           14
362           21|13|div
363           21|sp
364           28|sqrt
365           27|14|add
366           24|13|div
367           28|cbrt
368           28|9|div
369           20|21|div
370           27|28|div
371           9
372           13|12|mult
373           18|28|div
374           21|9|div
375           9|15|div
376           29|18|div
377           21|16|div
378           6|0|mult
379           16|9|mult
380           29|17|div
381           2|cbrt
382           14|sqrt
383           14|inv
384           10|inv
385           15|13|div
386           14|cbrt
387           9|29|div
388           20|14|add
389           0|23|div
390           28|26|div
391           18|14|add
392           9|21|div
393           14|24|div
394           9|2|add
