# FEAT_ID     Score                   Feature Expression
0             0.921433610742155573    ((ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple) * (max:mendeleev_number + min:atomic_number))
1             0.921470707226351604    ((ave:covalent_radius_pyykko_triple^3) * (min:vdw_radius_mm3 * max:en_allen))
2             0.921490805414350356    (cbrt(ave:covalent_radius_pyykko_triple) * (ave:covalent_radius_pyykko + ave:covalent_radius_pyykko_triple))
3             0.921498137638904868    ((min:covalent_radius_pyykko / min:vdw_radius_mm3) * (ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple))
4             0.921498813913171344    ((ave:covalent_radius_pyykko * min:covalent_radius_pyykko_double) * (ave:covalent_radius_pyykko_triple / min:covalent_radius_cordero))
5             0.921504576903328987    ((ave:covalent_radius_pyykko_triple^3) / (min:vdw_radius + min:atomic_radius_rahm))
6             0.921510884421088972    ((ave:covalent_radius_pyykko_triple^2) * (ave:covalent_radius_pyykko_triple / min:vdw_radius))
7             0.921513851063448186    ((ave:covalent_radius_pyykko_triple^3) / cbrt(min:covalent_radius_pyykko))
8             0.921520703052059131    ((ave:covalent_radius_pyykko + min:covalent_radius_pyykko_triple) * (ave:covalent_radius_pyykko_triple / min:atomic_radius_rahm))
9             0.921537873635280169    ((ave:covalent_radius_pyykko_triple^3) * (ave:covalent_radius_slater / min:atomic_radius_rahm))
10            0.921554137812142682    ((|min:covalent_radius_pyykko_double - min:covalent_radius_pyykko_triple|) + ave:covalent_radius_pyykko_triple)
11            0.92155675801986825     ((min:covalent_radius_pyykko_double / ave:covalent_radius_slater) * (ave:gs_volume_per * ave:covalent_radius_pyykko_triple))
12            0.921558021298733543    ((min:vdw_radius + ave:covalent_radius_pyykko_triple) * (ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple))
13            0.921564469842418577    ((min:covalent_radius_pyykko + min:covalent_radius_slater) * (ave:gs_volume_per + min:gs_volume_per))
14            0.921578919690571929    ((ave:atomic_number * min:fusion_enthalpy) * (ave:gs_volume_per + min:gs_volume_per))
15            0.921583275050747663    ((ave:covalent_radius_pyykko + min:covalent_radius_pyykko_triple) / sqrt(ave:heat_capacity_mass))
16            0.921587236207813021    ((ave:covalent_radius_pyykko_triple^3) * (min:atomic_radius_rahm / min:vdw_radius_mm3))
17            0.921587309140203037    ((ave:covalent_radius_pyykko_triple^3) / cbrt(min:atomic_radius_rahm))
18            0.921589633034256561    ((ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple) / (ave:covalent_radius_pyykko + ave:covalent_radius_slater))
19            0.9216203895050461      ((|min:covalent_radius_pyykko_double - min:covalent_radius_slater|) + (ave:covalent_radius_pyykko + ave:covalent_radius_pyykko_triple))
20            0.921625779079867646    ((ave:covalent_radius_pyykko_triple^3) / sqrt(min:vdw_radius))
21            0.921627553406537903    ((ave:covalent_radius_pyykko_triple^3) * (ave:covalent_radius_pyykko + ave:covalent_radius_pyykko_triple))
22            0.921629516859965858    ((min:vdw_radius_alvarez * min:atomic_radius_rahm) * (ave:gs_volume_per + min:gs_volume_per))
23            0.921641551491855227    (|(min:vdw_radius / ave:atomic_number) - (ave:covalent_radius_pyykko + ave:covalent_radius_pyykko_triple)|)
24            0.921662282304754998    ((min:vdw_radius_alvarez + ave:covalent_radius_pyykko_triple) * (ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple))
25            0.921668798558242686    ((ave:covalent_radius_pyykko_triple^3) * (min:vdw_radius_alvarez / min:atomic_radius_rahm))
26            0.921698496938067269    ((ave:covalent_radius_pyykko_triple^6) / (min:vdw_radius_mm3 * min:covalent_radius_pyykko_triple))
27            0.92170933480657613     ((ave:covalent_radius_pyykko_triple^6) / (min:vdw_radius_mm3 * min:covalent_radius_cordero))
28            0.921741387259213063    ((ave:covalent_radius_pyykko_triple / ave:covalent_radius_slater) * ave:covalent_radius_pyykko)
29            0.92176749925412238     ((ave:covalent_radius_pyykko_triple / max:en_ghosh) * (ave:gs_volume_per + min:gs_volume_per))
30            0.921773521982341082    (ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple)
31            0.92178518146165711     ((min:vdw_radius_mm3 * ave:gs_volume_per) + (min:atomic_radius_rahm * min:gs_volume_per))
32            0.921791423040890234    ((ave:covalent_radius_pyykko_triple^2) * (ave:covalent_radius_pyykko + min:covalent_radius_pyykko_double))
33            0.921799835058638273    ((min:vdw_radius_alvarez / ave:atomic_number) - (ave:covalent_radius_pyykko + ave:covalent_radius_pyykko_triple))
34            0.921803871248588647    ((ave:covalent_radius_pyykko_triple^3) * (max:mendeleev_number + min:period))
35            0.921815690703075341    ((min:vdw_radius_alvarez * max:mendeleev_number) * (ave:gs_volume_per + min:gs_volume_per))
36            0.921849439592893227    (cbrt(ave:covalent_radius_pyykko) * ave:covalent_radius_pyykko_triple)
37            0.92187153164423441     (cbrt(min:covalent_radius_cordero) * (ave:gs_volume_per + min:gs_volume_per))
38            0.921874186477860569    ((min:vdw_radius * min:vdw_radius_mm3) * (ave:gs_volume_per + min:gs_volume_per))
39            0.921883389488864946    ((max:mendeleev_number + ave:atomic_number) * (ave:covalent_radius_slater + min:covalent_radius_pyykko_double))
40            0.921896876027287315    ((ave:covalent_radius_pyykko_triple * min:covalent_radius_pyykko_triple) / (|ave:covalent_radius_pyykko - min:vdw_radius_mm3|))
41            0.921899155365038636    ((min:vdw_radius / min:atomic_radius_rahm) * (ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple))
42            0.921910652335235392    ((ave:covalent_radius_pyykko_triple^2) * (ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple))
43            0.921916982842196808    ((ave:covalent_radius_pyykko + ave:covalent_radius_pyykko_triple) / cbrt(ave:covalent_radius_slater))
44            0.921917146670405252    ((min:vdw_radius * max:mendeleev_number) * (ave:gs_volume_per + min:gs_volume_per))
45            0.92191836260002924     ((min:vdw_radius_mm3 * min:vdw_radius_alvarez) * (ave:gs_volume_per + min:gs_volume_per))
46            0.921931381523861337    ((max:mendeleev_number + ave:atomic_number) * (ave:covalent_radius_slater * ave:covalent_radius_pyykko_triple))
47            0.92195316813521222     ((ave:covalent_radius_pyykko_triple / min:vdw_radius_mm3) * (ave:covalent_radius_slater * ave:covalent_radius_pyykko_triple))
48            0.921960210247067202    ((ave:covalent_radius_pyykko_triple^3) / (min:vdw_radius_mm3 + min:covalent_radius_pyykko_triple))
49            0.921960849667792126    ((ave:covalent_radius_pyykko * max:mendeleev_number) + (ave:atomic_number * ave:covalent_radius_pyykko_triple))
50            0.921967152048326688    ((ave:gs_volume_per * min:covalent_radius_pyykko_triple) + (ave:covalent_radius_slater * min:gs_volume_per))
51            0.921967639769574743    ((ave:covalent_radius_pyykko_triple^2) * (ave:covalent_radius_pyykko + min:vdw_radius_alvarez))
52            0.921968350982166895    ((min:covalent_radius_cordero / min:vdw_radius) * (ave:gs_volume_per + min:gs_volume_per))
53            0.922005488442521726    ((ave:covalent_radius_pyykko_triple^2) * (max:mendeleev_number * ave:covalent_radius_pyykko_triple))
54            0.922008462817490049    ((min:vdw_radius_alvarez / max:mendeleev_number) * (ave:gs_volume_per + min:gs_volume_per))
55            0.922010140330945638    (sqrt(min:gs_volume_per) * (ave:covalent_radius_pyykko + min:covalent_radius_pyykko_triple))
56            0.92203719344497781     ((ave:covalent_radius_pyykko_triple^3) * (min:atomic_radius_rahm / min:covalent_radius_cordero))
57            0.922038275324998602    ((ave:covalent_radius_pyykko_triple^3) * (max:mendeleev_number - min:period))
58            0.9220421549288913      ((min:vdw_radius + min:vdw_radius_mm3) * (ave:gs_volume_per + min:gs_volume_per))
59            0.922043058262281279    (cbrt(min:gs_volume_per) * (ave:covalent_radius_pyykko_triple / min:vdw_radius))
60            0.922050459446085213    ((ave:covalent_radius_pyykko_triple^3) / sqrt(min:atomic_radius_rahm))
61            0.92206590235447361     ((ave:covalent_radius_pyykko_triple^2) * (min:vdw_radius + ave:covalent_radius_pyykko))
62            0.922089869707437337    ((ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple) / cbrt(min:vdw_radius_mm3))
63            0.922102850445665645    (ln(min:period) * (ave:gs_volume_per + min:gs_volume_per))
64            0.922176668429724122    (ln(min:hhi_p) * (ave:covalent_radius_slater * ave:covalent_radius_pyykko_triple))
65            0.922180921565664002    ((min:vdw_radius_alvarez * ave:covalent_radius_pyykko_triple) * (max:en_ghosh * ave:covalent_radius_pyykko))
66            0.922186882430041877    ((max:mendeleev_number / ave:covalent_radius_slater) * (ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple))
67            0.922189571657732854    ((ave:covalent_radius_pyykko * ave:covalent_radius_pyykko_triple) / (min:vdw_radius - min:covalent_radius_pyykko))
68            0.922196484161081576    ((ave:covalent_radius_pyykko_triple^3) * (max:mendeleev_number / min:vdw_radius))
69            0.922197663500209153    ((min:vdw_radius_alvarez * min:gs_volume_per) + (ave:gs_volume_per * min:covalent_radius_slater))
