ID,exfoliation_energy (J/m^2),min:bulk_modulus (GPa),min:thermal_conductivity (W / m / K),min:evaporation_heat (KJ / mol),max:num_p_valence,ave:num_p_valence,min:boiling_point (K),ave:thermal_conductivity (W / m / K),var:heat_capacity_molar (J / mol / K),ave:hhi_r,var:num_p_valence,ave:electron_affinity (eV),max:electron_affinity (eV),min:melting_point (K),min:heat_of_formation (KJ / mol),max:heat_capacity_molar (J / mol / K),ave:icsd_volume (cm^3 / mol),ave:mendeleev_number,min:vdw_radius_uff (pm),max:thermal_conductivity (W / m / K),var:electron_affinity (eV),max:mendeleev_number,ave:vdw_radius_uff (pm),sum:thermal_conductivity (W / m / K),ave:heat_capacity_molar (J / mol / K),ave:bulk_modulus (GPa),min:num_valance,perimeter_area_ratio (AA^-1),max:icsd_volume (cm^3 / mol),ave:atomic_volume (cm^3 / mol),ave:evaporation_heat (KJ / mol)
890,0.4176308841340386,1.9,0.02658,15.579091192355275,5.0,4.333333333333333,90.19,0.057719999999999994,476.6225208888888,2633.3333333333335,0.2222222222222222,2.095271733333333,3.3635882000000006,54.8,111.85,75.69,33.28666666666666,100.0,350.0,0.12,0.8043133298089093,101.0,372.96666666666664,1.3852799999999998,44.81533333333333,51.37069390034818,6.0,0.5423657483682731,65.14,17.166666666666664,20.239394128236846
5671,0.2690077729738129,7.7,0.0277,6.54,5.0,3.818181818181818,85.01,24.39738181818182,7.970608264462809,1490.909090909091,1.9669421487603307,2.4484100209090913,3.4011897000000006,53.53,79.335,31.304,21.134545454545457,94.36363636363636,336.4,67.0,1.1570775925769259,102.0,379.8818181818182,536.7424,28.953090909090907,47.317603362143274,6.0,0.47000416520990196,27.05,16.663636363636364,112.15818181818182
5109,0.6511673238478576,9.6,18.0,142.0,0.0,0.0,1910.0,209.0,3.294224999999998,1900.0,0.0,0.68981,1.235,1002.0,179.1,28.07,37.345,43.0,349.5,400.0,0.29723213610000004,72.0,359.9,836.0,26.255000000000003,74.8,2.0,1.0537379303142707,62.88,23.05,223.3
1236,0.6206682817840579,46.0,35.0,177.8,2.0,1.6,2013.0,46.2,0.3003040000000004,1740.0,0.6400000000000001,0.516594528,1.156,600.65,195.2,26.07,26.428,79.00000000000001,283.4,91.0,0.10220983940588568,82.0,400.44,462.0,24.974000000000004,72.80000000000001,10.0,0.6033058000473065,30.32,15.96,217.96000000000004
1652,0.3507940443857652,1.1,0.0089,20.41,5.0,4.0,238.6,24.00712,15.646771359999999,2400.0,4.0,3.1001800000000004,3.612725,172.2,121.302,33.949,26.046000000000003,91.60000000000001,296.3,120.0,1.0508095081,99.0,375.02,240.0712,31.9712,44.88,7.0,0.6615736750292057,29.05,16.62,120.58349665678278
3767,0.11126419901344259,33.0,17.0,367.0,2.0,1.0,3611.0,61.33333333333333,63.284368666666666,1700.0,0.6666666666666666,0.6162806666666666,1.262119,1795.0,424.7,26.53,15.463333333333331,68.66666666666666,334.5,140.0,0.20867758218955554,95.0,375.9666666666667,368.0,15.378,131.33333333333331,3.0,1.1542866663710523,32.97,9.899999999999999,510.2606917205154
3950,0.19946113082975217,7.7,0.02658,15.579091192355275,5.0,2.3529411764705883,90.19,31.86591647058824,285.74067026297575,2882.3529411764707,4.934256055363322,1.5147465470588235,3.0590368,54.8,106.757,54.43,30.601176470588236,67.23529411764706,334.5,140.0,1.4537585236375294,101.0,385.1058823529412,1083.44116,33.36582352941176,29.900355344148373,3.0,0.6079695637228788,42.51,18.98235294117647,283.1838421574703
2517,0.17663260863105204,7.7,0.449,41.95,5.0,3.333333333333333,457.5,11.966,169.77102222222223,4200.0,5.555555555555555,2.0553578666666663,3.0590368,386.7,106.757,54.43,47.03333333333333,69.66666666666666,364.1,35.0,2.014742802434275,97.0,421.3666666666667,71.796,45.21666666666666,29.29349138879497,2.0,0.46230742217654186,56.08,28.366666666666667,75.96666666666667
4393,0.5086224835945217,8.3,0.52,59.7,4.0,2.2857142857142856,958.1,34.582857142857144,0.016939346938775725,4028.5714285714284,3.9183673469387754,1.219382857142857,2.02067,490.0,227.2,25.363000000000003,22.08285714285714,79.28571428571428,291.2,80.0,0.856081447077551,93.0,365.0857142857143,242.08,25.250285714285717,77.6,8.0,1.322212680600821,29.81,12.471428571428572,179.82857142857142
1454,0.6182125709688825,9.6,18.0,142.0,0.0,0.0,1910.0,62.0,2.1217999999999995,4200.0,0.0,0.47541333333333335,1.137,1002.0,179.1,28.07,45.78,30.999999999999996,292.9,150.0,0.21884845875555559,65.0,344.5,186.0,27.04,133.06666666666666,2.0,1.0388852138324451,62.88,28.766666666666666,259.3333333333333
5285,0.2341224753605915,42.0,0.02658,6.54,5.0,3.9999999999999996,85.01,8.018093333333333,6.423206222222218,1800.0,0.6666666666666666,1.9694344,3.4011897000000006,53.53,79.335,31.304,21.33,97.0,336.4,24.0,1.0536814891860873,102.0,376.1333333333333,96.21712,28.63733333333333,54.96832678259498,6.0,0.747838733186183,30.21,16.5,72.43969706411843
1797,0.33634694551669697,1.1,0.0089,20.41,5.0,3.75,238.6,13.506675,16.388212687499987,2950.0,4.6875,2.93889525,3.612725,172.2,121.302,33.949,26.325000000000003,87.5,316.5,54.0,1.3621395959551874,99.0,375.15,108.0534,31.61175,43.325,5.0,0.7952210674724948,29.05,16.724999999999998,185.3075
4940,0.750502957677222,56.79963952619768,0.02658,0.904,4.0,1.857142857142857,20.28,33.660177142857144,3.0113554285714286,1827.8077680462745,3.5510204081632653,1.0112507857142856,1.4611135,14.01,217.998,29.378,23.535714285714285,98.85714285714286,288.6,235.0,0.1628475744810612,103.0,337.95714285714286,942.48496,28.406,67.8167201614514,1.0,0.6262243430485205,32.02,13.471428571428572,47.64989622529512
4164,0.8376103732709975,11.0,0.02658,15.579091192355275,4.0,2.714285714285714,90.19,13.306045714285714,5.14035363265306,1871.4285714285713,3.061224489795918,1.3970201171080943,2.5700308197566617,54.8,159.3,29.378,17.465714285714284,80.85714285714285,245.1,85.0,0.34603131137787135,101.0,336.5571428571429,186.28464,27.502285714285712,63.77488048601273,1.0,0.7245297649323527,21.63,13.355714285714285,68.73090925277444
