ID,max:mendeleev_number,ave:melting_point,var:covalent_radius_pyykko_double,ave:evaporation_heat,var:num_d_unfilled,ave:num_s_unfilled,ave:c6_gb,ave:heat_capacity_molar,ave:atomic_radius,min:boiling_point,sum:electron_affinity,ave:Polarizability,ave:molar_volume,var:c6_gb,sum:melting_point,min:vdw_radius_uff,sum:gs_mag_moment,ave:gs_est_bcc_latcnt,ave:icsd_volume,var:covalent_radius_cordero,aflow_proto,exfoliation_energy_per_atom (eV/atom)
4649,100.0,1476.645,930.25,305.0279277863702,6.25,0.5,527.85,26.592,115.5,77.4,-1.3039999999999998,6.95,11.46,252154.6225,5906.58,305.2,0.0,3.1226731625,19.134999999999998,1722.25,mC8_12_i_i,0.1101840350000014
4655,99.0,389.6909090909091,328.99173553719015,79.58909090909091,0.0,0.0,458.8,31.525636363636362,152.71186719502728,238.6,59.63092,5.330909090909091,17.550909090909094,793968.6763636363,8573.2,364.1,0.0,3.6777163925454546,29.24545454545455,710.0826446280992,mP22_13_4g_e_g,0.054310885000000475
4676,102.0,756.11,648.6666666666667,160.70636373078509,10.88888888888889,0.0,327.29999999999995,28.523999999999997,138.07501149328544,85.01,10.774606400000001,4.586333333333333,12.293333333333331,197010.68666666665,4536.660000000001,314.4,0.0,2.7606130013333336,15.886666666666667,1873.9999999999998,oP6_59_a_a_b,0.06232722333333385
4684,99.0,983.6,306.25,193.705,20.25,0.0,1348.55,30.2395,162.67690869658125,238.6,7.83945,12.44,18.634999999999998,1566127.1025,3934.4,334.5,0.0,3.837166057,31.009999999999998,1936.0,hP4_164_c_d,0.054451730000000254
4688,94.0,413.88,378.24,28.080000000000002,0.0,0.0,202.4,23.5888,132.60000000000002,553.0,19.056703290639803,3.9380000000000006,15.322,10593.04,4138.8,284.8,0.0,3.6236731744,23.572,237.76000000000002,hP10_162_d_e_k,0.06664590500000012
4690,101.0,408.19999999999993,1006.2222222222222,80.11303039745175,0.0,0.0,235.89999999999998,43.43266666666666,154.25224281649608,90.19,11.741403400000001,3.4839999999999995,18.44333333333333,40772.486666666664,2449.2,350.0,0.0,3.501530740666667,37.57,956.2222222222222,tP6_129_b_c_c,0.0526255950000003
4699,101.0,872.7636363636365,874.2644628099173,209.8757026853493,7.140495867768594,0.18181818181818182,288.23636363636365,28.04490909090909,145.69194204466058,90.19,28.67996,4.446909090909091,15.455454545454545,205508.9004958678,19200.8,309.6,0.0,2.8046409473636364,17.366363636363637,1879.3388429752067,mP22_13_4g_e_g,0.030442366363637063
4701,103.0,848.505,4.883951073700376,191.952,0.0,0.5,157.255,24.412999999999997,105.5,20.28,4.2874322,3.0983965,11.74,22724.055025,3394.02,288.6,0.0,2.904985194,26.020000000000003,1600.0,hP4_164_d_d,0.03825411000000045
4702,99.0,345.71,138.88888888888889,51.873333333333335,0.0,0.0,156.73333333333332,31.095999999999997,144.23587826210832,238.6,9.545428597320232,3.37,14.646666666666667,7112.268888888889,1037.13,276.3,0.0,3.450685568,24.43,88.88888888888889,tP3_115_a_g,0.07769053666666692
4704,93.0,495.0333333333333,117.55555555555554,138.46666666666664,0.0,0.0,393.66666666666663,25.905333333333335,147.33333333333331,958.1,5.153407,4.6066666666666665,16.376666666666665,51627.555555555555,1485.1,420.5,0.0,3.8367328586666667,28.889999999999997,80.22222222222223,hP3_164_a_d,0.09139978000000015
4705,97.0,488.7099999999999,18.0,66.23333333333333,0.0,0.0,351.3333333333333,44.74999999999999,146.49306096648644,457.5,8.438052197320232,5.4833333333333325,20.2,2837.5555555555557,1466.13,276.3,0.0,3.954243514,33.40333333333333,64.22222222222221,hP3_164_a_d,0.07889393333333339
4706,97.0,628.4666666666666,72.0,79.16666666666666,0.0,0.0,1002.6666666666665,44.92966666666666,166.1597276331531,457.5,6.142623599999999,11.899999999999999,25.879999999999995,753173.5555555555,1885.4,339.9,0.0,4.3520988806666665,43.06999999999999,304.2222222222222,hP3_164_a_d,0.08259870999999963
4708,101.0,673.9999999999999,888.6666666666666,134.32969706411842,18.0,0.0,904.6,29.952333333333332,157.18507923485691,90.19,10.761677,8.560666666666666,18.209999999999997,1438267.94,4044.0,334.5,0.0,3.435075300333333,26.459999999999997,2712.8888888888887,hP6_164_c_d_d,0.033952604999999636
4709,89.0,1150.5633333333333,38.888888888888886,173.46666666666667,3.555555555555556,0.3333333333333333,739.3333333333333,24.866666666666667,140.0,876.0,3.1460980000000003,12.346666666666668,11.02,238720.88888888888,6903.38,245.1,4.2213256,3.177392871,18.31,89.55555555555554,tP6_129_b_c_c,0.14999477333333378
4710,102.0,680.4433333333333,774.2222222222222,148.23969706411845,14.222222222222223,0.0,408.96666666666664,28.580666666666662,142.40834482661876,85.01,9.8826064,5.3196666666666665,13.066666666666665,312873.90888888884,4082.66,317.5,4.5e-05,2.8461275456666666,17.15,2169.5555555555557,oP6_59_a_a_b,0.04785814333333338
4712,93.0,864.2833333333333,98.0,143.93333333333334,8.88888888888889,0.0,407.16666666666663,25.485333333333337,147.83333333333331,958.1,10.067556,6.129999999999999,16.596666666666668,87648.13888888888,5185.7,314.1,0.0,3.761284195,29.266666666666666,410.1388888888888,mP6_10_b_c_mn,0.09435858166666655
4715,94.0,1161.3333333333333,158.55555555555554,221.0,5.25,0.16666666666666666,370.3333333333333,23.416666666666664,131.66666666666666,717.824,10.78962212,5.816666666666666,13.578333333333331,137933.88888888888,6968.0,284.0,0.0,3.5422886725,22.511666666666663,545.4722222222222,mP6_10_b_c_mn,0.08900074166666716
4721,99.0,346.24999999999994,274.66666666666663,75.92333333333333,0.0,0.0,272.7,44.779666666666664,159.96970851041414,238.6,14.666112720000001,4.07,18.476666666666667,35485.846666666665,2077.5,394.7,0.0,3.794054520333333,41.50333333333333,326.22222222222223,tP6_129_b_c_c,0.283043291666667
4738,101.0,705.2333333333332,941.5555555555557,137.37969706411843,18.0,0.0,934.5666666666667,43.866,160.58557614982942,90.19,10.263403400000001,8.850666666666665,19.006666666666664,1391667.7755555557,4231.400000000001,334.5,0.0,3.512720368333333,38.49,2576.8888888888887,hP6_164_c_d_d,0.03615208833333394
