ID,exfoliation_energy (J/m^2),min:bulk_modulus (GPa),min:thermal_conductivity (W / m / K),decomposition_energy (eV/atom),min:evaporation_heat (KJ / mol),ave:num_p_valence,max:num_p_valence,min:boiling_point (K),ave:thermal_conductivity (W / m / K),ave:electron_affinity (eV),max:electron_affinity (eV),var:num_p_valence,ave:hhi_r,var:heat_capacity_molar (J / mol / K),min:melting_point (K),min:heat_of_formation (KJ / mol),max:heat_capacity_molar (J / mol / K),ave:icsd_volume (cm^3 / mol),ave:mendeleev_number,max:mendeleev_number,bandgap (eV),min:vdw_radius_uff (pm),ave:heat_capacity_molar (J / mol / K),max:thermal_conductivity (W / m / K),sum:thermal_conductivity (W / m / K),ave:vdw_radius_uff (pm),var:electron_affinity (eV),ave:bulk_modulus (GPa),perimeter_area_ratio (AA^-1),ave:atomic_volume (cm^3 / mol),ave:evaporation_heat (KJ / mol)
3606,0.28394811451965846,1.1,0.0089,0.0,15.579091192355275,3.0,5.0,90.19,31.345159999999996,1.9132794999999998,3.612725,4.666666666666666,1866.6666666666665,18.841069555555542,54.8,121.302,33.949,19.473333333333333,85.66666666666666,101.0,1.8635000000000002,302.3,28.89233333333333,94.0,188.07095999999999,349.0,1.549425083382167,79.06868028350742,1.1289300332347318,13.309999999999999,125.99636373078509
3114,1.8319504321356235,45.0,22.0,0.43150485111111125,131.8,0.0,0.0,1363.0,113.99999999999999,1.4351517026540979,2.113227553981147,0.0,866.6666666666665,0.008106888888888799,922.0,147.1,25.06,21.543333333333333,65.66666666666666,73.0,0.0,302.1,24.932666666666663,160.0,342.0,307.23333333333335,0.9195737203058044,66.66666666666666,1.5275751275079328,12.866666666666665,228.73333333333335
3034,0.4935948125875536,7.7,0.205,0.06093669749999986,10.5,3.0,4.0,717.824,17.6025,1.2169235950000001,2.07710403,1.0,1400.0,1.0,386.0,195.2,24.7,28.04,88.0,94.0,1.7007,403.5,23.7,35.0,70.41,416.6,0.7399103807567893,26.85,0.9472756819877712,16.9,94.15
915,0.7155608468327842,7.7,0.205,0.12285318714285776,10.5,2.2857142857142856,4.0,717.824,16.659285714285712,1.135901727142857,2.07710403,2.204081632653061,1514.2857142857142,2.7156489795918395,302.93,271.96,26.03,22.240000000000002,86.57142857142857,94.0,1.3251000000000002,403.5,24.60285714285714,29.0,233.23,423.38571428571424,0.6643963311776917,50.39551870660234,0.7379359230382905,13.385714285714286,158.95714285714286
143,0.2878408453797652,65.0,3.0,0.0,49.8,2.5,4.0,1263.0,42.5,1.135438,1.970876,2.25,3450.0,0.255024999999999,429.32,196.6,26.74,30.04,85.5,92.0,1.2766000000000002,446.3,26.235,82.0,170.0,446.65,0.697956651844,72.09646442026789,1.0551973558191248,18.1,137.45
1747,0.4723624565072543,7.7,0.205,0.04879409291666725,10.5,2.0,4.0,717.824,50.1025,1.369680245,2.07710403,4.0,1850.0,1.1130249999999995,386.0,277.17,24.81,18.44,79.0,94.0,0.0,287.2,23.755,100.0,200.41,345.35,0.5004484115837262,93.85,1.1042887538405093,11.1,199.8
3624,0.3119165808174699,1.1,0.0089,0.0,10.5,3.6,5.0,238.6,10.885560000000002,2.459412812,3.612725,3.4400000000000004,2560.0,27.527504239999992,172.2,121.302,33.949,25.554000000000002,87.80000000000001,99.0,1.8206999999999998,316.5,27.5796,54.0,108.8556,382.58000000000004,1.066072604764349,37.519999999999996,0.7226741810233647,15.84,148.36399999999998
1613,0.4892777101910798,46.798939497262666,0.0277,0.19290081800000003,6.54,4.0,5.0,85.01,11.42216,2.7853517600000006,3.4011897000000006,4.0,2160.0,5.6529817599999985,53.53,79.335,31.304,16.666000000000004,92.00000000000001,102.0,0.0,317.0,30.115199999999998,57.0,57.1108,332.52,1.5170254733737751,77.43915159781014,0.972684821666749,15.860000000000001,156.832
785,1.3231714352506265,8.3,0.52,0.2564321650000001,59.7,2.6666666666666665,4.0,958.1,133.67999999999998,1.7587799999999998,2.02067,3.5555555555555554,4500.0,0.1893175555555563,490.0,227.2,25.363000000000003,23.81,86.0,93.0,0.0,349.5,25.055333333333337,400.0,401.04,396.8333333333333,0.13717274419999995,52.199999999999996,1.3329190501608952,13.366666666666667,141.33333333333331
1473,0.44222239377455685,7.7,0.205,0.0,10.5,3.0,4.0,717.824,13.65375,1.7871795225,2.07710403,3.0,2950.0,0.6768750000000014,386.0,277.17,24.6,23.8575,83.75,94.0,0.0,316.5,23.174999999999997,54.0,327.69,381.75,0.25216866014735273,48.275,0.7247666884465898,14.325,177.875
3936,0.3696216735678464,1.9,0.12,0.0,29.56,2.909090909090909,5.0,331.9,27.043636363636363,1.964998254545455,3.3635882000000006,4.991735537190083,6754.545454545454,574.2984694214875,265.9,111.85,75.69,38.29636363636364,85.81818181818181,98.0,0.7376,289.9,43.988181818181815,72.0,594.96,379.6545454545454,1.4270850358919502,83.87272727272727,0.43558538318801876,17.372727272727275,159.7490909090909
3196,0.46829345222402563,8.3,0.52,0.1471958677941183,59.7,2.0,4.0,958.1,23.46,1.8073549549391654,2.5700308197566617,4.0,4500.0,0.27933224999999995,490.0,159.3,26.32,23.362499999999997,64.5,93.0,0.0,245.1,25.4765,85.0,93.84,345.55,0.5217824365318721,36.9,1.117946982572539,13.372499999999999,122.1
1713,0.5274016633298737,46.798939497262666,0.0277,0.18105621749999923,6.54,4.0,5.0,85.01,7.270775,2.6583922750000006,3.4011897000000006,3.0,1600.0,5.215326749999995,53.53,79.335,31.304,17.215000000000003,96.75,102.0,4.5443999999999996,336.4,29.9855,29.0,58.1662,361.875,1.6552440437598923,55.70349405708552,0.8442697618464454,15.775000000000002,72.48
5825,0.33275530836646866,7.7,0.205,0.0,10.5,3.0,4.0,553.0,44.770199999999996,1.544583818,2.07710403,2.4,2210.0,1.1544899600000011,317.3,277.17,25.52,23.455000000000002,83.4,94.0,2.0441000000000003,314.8,23.4718,430.0,447.702,389.46999999999997,0.48741672252768753,22.520000000000003,0.7461407974250363,15.229999999999999,74.94
199,1.5044271350993002,8.3,0.52,0.388596303203125,59.7,2.6666666666666665,4.0,958.1,143.67999999999998,1.781113333333333,2.02067,3.5555555555555554,4466.666666666667,3.755555555556524e-05,490.0,227.2,25.363000000000003,25.556666666666665,85.66666666666666,93.0,0.0,314.8,25.358666666666668,430.0,431.04,385.26666666666665,0.11477479308888892,38.86666666666666,1.233247292189506,14.433333333333334,124.49999999999999
1800,0.4375320177361192,7.7,0.205,0.008334664791667556,10.5,3.0,4.0,717.824,14.40375,1.6383280225,2.07710403,3.0,1950.0,1.3266750000000003,386.0,277.17,25.36,23.7325,83.5,94.0,0.12849999999999984,317.0,23.365,57.0,230.46,381.875,0.5775731542729201,55.775,0.762083408395218,14.35,197.375
4488,0.3500270645846581,1.1,0.0089,0.09162893062499666,15.579091192355275,2.833333333333333,5.0,90.19,25.348106666666666,1.5246642499999998,3.612725,4.138888888888889,2100.0,10.008585249999994,54.8,80.9,33.949,31.038333333333334,78.0,101.0,2.7944999999999998,302.3,29.415499999999998,94.0,608.35456,359.73333333333335,1.031401283383896,65.31968709192779,0.5167194026178358,20.638333333333335,80.82454559617763
1941,0.498288836748228,1.9,0.12,0.10043978500000028,29.56,2.5,5.0,331.9,215.06,2.3327941,3.3635882000000006,6.25,4150.0,633.5288999999999,265.9,111.85,75.69,41.095,84.5,98.0,0.9532000000000003,314.8,50.519999999999996,430.0,860.24,366.85,1.0625364765948109,50.95,1.031143671391684,16.9,141.82999999999998
