# FEAT_ID     Score                   Feature Expression
59            0.903038322926317361    ((mp_bandgap / min:vdw_radius_alvarez) * (min:vdw_radius_alvarez + ave:covalent_radius_cordero))
60            0.903053023495848817    ((mp_bandgap / min:vdw_radius_alvarez) * (min:vdw_radius_alvarez + ave:covalent_radius_slater))
61            0.903065465844556603    ((mp_bandgap / min:atomic_radius_rahm) * (min:vdw_radius + ave:covalent_radius_slater))
62            0.903067650067474581    ((min:vdw_radius_mm3 * mp_bandgap) / cbrt(ave:covalent_radius_slater))
63            0.903068971299017753    ((mp_bandgap / min:vdw_radius_alvarez) * (min:vdw_radius + min:covalent_radius_slater))
64            0.903083873547240179    (cbrt(ave:covalent_radius_pyykko) * (mp_bandgap / max:mendeleev_number))
65            0.903098269787958929    ((ave:covalent_radius_pyykko + min:covalent_radius_cordero) * (mp_bandgap / ave:covalent_radius_pyykko))
66            0.903108048117831075    ((mp_bandgap / max:mendeleev_number) / cbrt(max:en_allen))
67            0.90314007101924243     ((min:vdw_radius_mm3 * mp_bandgap) * (max:mendeleev_number + min:period))
68            0.903142230828279047    ((mp_bandgap / sum:first_ion_en) * (sum:first_ion_en - mp_bandgap))
69            0.903165979743133507    ((mp_bandgap / min:vdw_radius_alvarez) * (min:covalent_radius_pyykko_triple + min:vdw_radius))
70            0.90316972491490366     ((min:vdw_radius * mp_bandgap) / (min:covalent_radius_pyykko_double + min:vdw_radius_alvarez))
71            0.903185443668113042    ((mp_bandgap / max:mendeleev_number) / cbrt(min:vdw_radius_mm3))
72            0.903187943702105311    ((mp_bandgap / sum:first_ion_en) * (max:first_ion_en + sum:first_ion_en))
73            0.903206901712440557    ((max:mendeleev_number * mp_bandgap) / ln(max:mendeleev_number))
74            0.903216446060090883    ((max:en_allen - mp_bandgap) * (mp_bandgap / max:en_allen))
75            0.903220188751647335    ((ave:covalent_radius_cordero + ave:covalent_radius_slater) * (mp_bandgap / ave:covalent_radius_slater))
76            0.903223607028105224    ((min:atomic_radius_rahm * mp_bandgap) / sqrt(min:vdw_radius_alvarez))
77            0.903239141906349241    ((min:atomic_radius_rahm * mp_bandgap) * sqrt(max:first_ion_en))
78            0.903248712991318703    ((min:covalent_radius_slater * mp_bandgap) / (min:vdw_radius_mm3 * min:period))
79            0.903249671172091984    ((mp_bandgap / min:vdw_radius_mm3) * (min:vdw_radius_alvarez + ave:covalent_radius_slater))
80            0.903271507209668201    ((ave:covalent_radius_cordero * mp_bandgap) / (ave:covalent_radius_cordero + ave:covalent_radius_slater))
81            0.903284946891752205    ((min:vdw_radius_alvarez * mp_bandgap) / cbrt(ave:covalent_radius_cordero))
82            0.903292488210945876    ((min:vdw_radius_alvarez * mp_bandgap) / sqrt(ave:covalent_radius_cordero))
83            0.903294919459214474    ((min:vdw_radius * mp_bandgap) / (min:vdw_radius + ave:covalent_radius_pyykko))
84            0.903304040290430543    ((mp_bandgap / max:en_allen) * (max:en_pauling * max:mendeleev_number))
85            0.903304958868026531    ((ave:covalent_radius_cordero * mp_bandgap) / (ave:covalent_radius_pyykko + ave:covalent_radius_slater))
86            0.903322832362478345    ((mp_bandgap / min:vdw_radius_mm3) * (min:vdw_radius + ave:covalent_radius_cordero))
87            0.903325770834138342    ((ave:first_ion_en / min:period) - (max:mendeleev_number * mp_bandgap))
88            0.903326417327691145    ((mp_bandgap / min:vdw_radius_alvarez) * (min:vdw_radius_alvarez + ave:covalent_radius_pyykko))
89            0.903345570533551023    ((min:atomic_radius_rahm * max:mendeleev_number) * (max:mendeleev_number * mp_bandgap))
90            0.90334773163525528     ((max:first_ion_en / min:period) - (max:mendeleev_number * mp_bandgap))
91            0.903423374921499378    ((ave:covalent_radius_slater + min:covalent_radius_cordero) * (mp_bandgap / ave:covalent_radius_slater))
92            0.90344691632108276     ((ave:covalent_radius_cordero + min:covalent_radius_cordero) * (mp_bandgap / ave:covalent_radius_cordero))
93            0.903447697889795398    ((min:covalent_radius_cordero / min:covalent_radius_slater) * (min:vdw_radius * mp_bandgap))
94            0.903515451120376567    ((mp_bandgap / max:mendeleev_number) / (min:vdw_radius_mm3 - min:covalent_radius_cordero))
95            0.903526716580010492    ((mp_bandgap / min:vdw_radius_alvarez) * (min:covalent_radius_pyykko_double + min:vdw_radius))
96            0.903544285017707116    ((mp_bandgap / max:mendeleev_number) * sqrt(min:vdw_radius_alvarez))
97            0.903548986729964532    ((min:vdw_radius_alvarez * mp_bandgap) / sqrt(min:vdw_radius_mm3))
98            0.903558200691853775    ((mp_bandgap / min:covalent_radius_pyykko_double) * (min:covalent_radius_pyykko_triple * max:mendeleev_number))
99            0.903569742569872547    (sqrt(min:covalent_radius_cordero) * (mp_bandgap / min:atomic_radius_rahm))
100           0.903585259881020564    ((mp_bandgap / max:mendeleev_number) * sqrt(min:vdw_radius))
101           0.903585841257729228    ((mp_bandgap / min:vdw_radius_mm3) * (min:vdw_radius + ave:covalent_radius_pyykko))
102           0.9036055191341964      ((min:vdw_radius_alvarez * mp_bandgap) / cbrt(ave:covalent_radius_pyykko))
103           0.903612903662808553    ((mp_bandgap / min:vdw_radius_alvarez) * cbrt(min:covalent_radius_pyykko))
104           0.903618672432363823    ((mp_bandgap / min:period) * (min:covalent_radius_pyykko + min:covalent_radius_slater))
